"l1","l2","a11","a12","a21","a22","N1","N2"
10,11,0.3,0.1,0.1,0.1,0,100
11,11,0.3,0.1,0.1,0.1,0,100
12,11,0.3,0.1,0.1,0.1,5,95
13,11,0.3,0.1,0.1,0.1,10,90
14,11,0.3,0.1,0.1,0.1,15,85
15,11,0.3,0.1,0.1,0.1,20,80
16,11,0.3,0.1,0.1,0.1,25,75
17,11,0.3,0.1,0.1,0.1,30,70
18,11,0.3,0.1,0.1,0.1,35,65
19,11,0.3,0.1,0.1,0.1,40,60
20,11,0.3,0.1,0.1,0.1,45,55
10,12,0.3,0.1,0.1,0.1,0,110
11,12,0.3,0.1,0.1,0.1,0,110
12,12,0.3,0.1,0.1,0.1,0,110
13,12,0.3,0.1,0.1,0.1,5,105
14,12,0.3,0.1,0.1,0.1,10,100
15,12,0.3,0.1,0.1,0.1,15,95
16,12,0.3,0.1,0.1,0.1,20,90
17,12,0.3,0.1,0.1,0.1,25,85
18,12,0.3,0.1,0.1,0.1,30,80
19,12,0.3,0.1,0.1,0.1,35,75
20,12,0.3,0.1,0.1,0.1,40,70
10,13,0.3,0.1,0.1,0.1,0,120
11,13,0.3,0.1,0.1,0.1,0,120
12,13,0.3,0.1,0.1,0.1,0,120
13,13,0.3,0.1,0.1,0.1,0,120
14,13,0.3,0.1,0.1,0.1,5,115
15,13,0.3,0.1,0.1,0.1,10,110
16,13,0.3,0.1,0.1,0.1,15,105
17,13,0.3,0.1,0.1,0.1,20,100
18,13,0.3,0.1,0.1,0.1,25,95
19,13,0.3,0.1,0.1,0.1,30,90
20,13,0.3,0.1,0.1,0.1,35,85
10,14,0.3,0.1,0.1,0.1,0,130
11,14,0.3,0.1,0.1,0.1,0,130
12,14,0.3,0.1,0.1,0.1,0,130
13,14,0.3,0.1,0.1,0.1,0,130
14,14,0.3,0.1,0.1,0.1,0,130
15,14,0.3,0.1,0.1,0.1,5,125
16,14,0.3,0.1,0.1,0.1,10,120
17,14,0.3,0.1,0.1,0.1,15,115
18,14,0.3,0.1,0.1,0.1,20,110
19,14,0.3,0.1,0.1,0.1,25,105
20,14,0.3,0.1,0.1,0.1,30,100
10,15,0.3,0.1,0.1,0.1,0,140
11,15,0.3,0.1,0.1,0.1,0,140
12,15,0.3,0.1,0.1,0.1,0,140
13,15,0.3,0.1,0.1,0.1,0,140
14,15,0.3,0.1,0.1,0.1,0,140
15,15,0.3,0.1,0.1,0.1,0,140
16,15,0.3,0.1,0.1,0.1,5,135
17,15,0.3,0.1,0.1,0.1,10,130
18,15,0.3,0.1,0.1,0.1,15,125
19,15,0.3,0.1,0.1,0.1,20,120
20,15,0.3,0.1,0.1,0.1,25,115
10,16,0.3,0.1,0.1,0.1,0,150
11,16,0.3,0.1,0.1,0.1,0,150
12,16,0.3,0.1,0.1,0.1,0,150
13,16,0.3,0.1,0.1,0.1,0,150
14,16,0.3,0.1,0.1,0.1,0,150
15,16,0.3,0.1,0.1,0.1,0,150
16,16,0.3,0.1,0.1,0.1,0,150
17,16,0.3,0.1,0.1,0.1,5,145
18,16,0.3,0.1,0.1,0.1,10,140
19,16,0.3,0.1,0.1,0.1,15,135
20,16,0.3,0.1,0.1,0.1,20,130
10,17,0.3,0.1,0.1,0.1,0,160
11,17,0.3,0.1,0.1,0.1,0,160
12,17,0.3,0.1,0.1,0.1,0,160
13,17,0.3,0.1,0.1,0.1,0,160
14,17,0.3,0.1,0.1,0.1,0,160
15,17,0.3,0.1,0.1,0.1,0,160
16,17,0.3,0.1,0.1,0.1,0,160
17,17,0.3,0.1,0.1,0.1,0,160
18,17,0.3,0.1,0.1,0.1,5,155
19,17,0.3,0.1,0.1,0.1,10,150
20,17,0.3,0.1,0.1,0.1,15,145
10,18,0.3,0.1,0.1,0.1,0,170
11,18,0.3,0.1,0.1,0.1,0,170
12,18,0.3,0.1,0.1,0.1,0,170
13,18,0.3,0.1,0.1,0.1,0,170
14,18,0.3,0.1,0.1,0.1,0,170
15,18,0.3,0.1,0.1,0.1,0,170
16,18,0.3,0.1,0.1,0.1,0,170
17,18,0.3,0.1,0.1,0.1,0,170
18,18,0.3,0.1,0.1,0.1,0,170
19,18,0.3,0.1,0.1,0.1,5,165
20,18,0.3,0.1,0.1,0.1,10,160
10,19,0.3,0.1,0.1,0.1,0,180
11,19,0.3,0.1,0.1,0.1,0,180
12,19,0.3,0.1,0.1,0.1,0,180
13,19,0.3,0.1,0.1,0.1,0,180
14,19,0.3,0.1,0.1,0.1,0,180
15,19,0.3,0.1,0.1,0.1,0,180
16,19,0.3,0.1,0.1,0.1,0,180
17,19,0.3,0.1,0.1,0.1,0,180
18,19,0.3,0.1,0.1,0.1,0,180
19,19,0.3,0.1,0.1,0.1,0,180
20,19,0.3,0.1,0.1,0.1,5,175
10,20,0.3,0.1,0.1,0.1,0,190
11,20,0.3,0.1,0.1,0.1,0,190
12,20,0.3,0.1,0.1,0.1,0,190
13,20,0.3,0.1,0.1,0.1,0,190
14,20,0.3,0.1,0.1,0.1,0,190
15,20,0.3,0.1,0.1,0.1,0,190
16,20,0.3,0.1,0.1,0.1,0,190
17,20,0.3,0.1,0.1,0.1,0,190
18,20,0.3,0.1,0.1,0.1,0,190
19,20,0.3,0.1,0.1,0.1,0,190
20,20,0.3,0.1,0.1,0.1,0,190
10,10,0.5,0.1,0.1,0.1,0,90
11,10,0.5,0.1,0.1,0.1,2.5,87.5
12,10,0.5,0.1,0.1,0.1,5,85
13,10,0.5,0.1,0.1,0.1,7.5,82.5
14,10,0.5,0.1,0.1,0.1,10,80
15,10,0.5,0.1,0.1,0.1,12.5,77.5
16,10,0.5,0.1,0.1,0.1,15,75
17,10,0.5,0.1,0.1,0.1,17.5,72.5
18,10,0.5,0.1,0.1,0.1,20,70
19,10,0.5,0.1,0.1,0.1,22.5,67.5
20,10,0.5,0.1,0.1,0.1,25,65
10,11,0.5,0.1,0.1,0.1,0,100
11,11,0.5,0.1,0.1,0.1,0,100
12,11,0.5,0.1,0.1,0.1,2.5,97.5
13,11,0.5,0.1,0.1,0.1,5,95
14,11,0.5,0.1,0.1,0.1,7.5,92.5
15,11,0.5,0.1,0.1,0.1,10,90
16,11,0.5,0.1,0.1,0.1,12.5,87.5
17,11,0.5,0.1,0.1,0.1,15,85
18,11,0.5,0.1,0.1,0.1,17.5,82.5
19,11,0.5,0.1,0.1,0.1,20,80
20,11,0.5,0.1,0.1,0.1,22.5,77.5
10,12,0.5,0.1,0.1,0.1,0,110
11,12,0.5,0.1,0.1,0.1,0,110
12,12,0.5,0.1,0.1,0.1,0,110
13,12,0.5,0.1,0.1,0.1,2.5,107.5
14,12,0.5,0.1,0.1,0.1,5,105
15,12,0.5,0.1,0.1,0.1,7.5,102.5
16,12,0.5,0.1,0.1,0.1,10,100
17,12,0.5,0.1,0.1,0.1,12.5,97.5
18,12,0.5,0.1,0.1,0.1,15,95
19,12,0.5,0.1,0.1,0.1,17.5,92.5
20,12,0.5,0.1,0.1,0.1,20,90
10,13,0.5,0.1,0.1,0.1,0,120
11,13,0.5,0.1,0.1,0.1,0,120
12,13,0.5,0.1,0.1,0.1,0,120
13,13,0.5,0.1,0.1,0.1,0,120
14,13,0.5,0.1,0.1,0.1,2.5,117.5
15,13,0.5,0.1,0.1,0.1,5,115
16,13,0.5,0.1,0.1,0.1,7.5,112.5
17,13,0.5,0.1,0.1,0.1,10,110
18,13,0.5,0.1,0.1,0.1,12.5,107.5
19,13,0.5,0.1,0.1,0.1,15,105
20,13,0.5,0.1,0.1,0.1,17.5,102.5
10,14,0.5,0.1,0.1,0.1,0,130
11,14,0.5,0.1,0.1,0.1,0,130
12,14,0.5,0.1,0.1,0.1,0,130
13,14,0.5,0.1,0.1,0.1,0,130
14,14,0.5,0.1,0.1,0.1,0,130
15,14,0.5,0.1,0.1,0.1,2.5,127.5
16,14,0.5,0.1,0.1,0.1,5,125
17,14,0.5,0.1,0.1,0.1,7.5,122.5
18,14,0.5,0.1,0.1,0.1,10,120
19,14,0.5,0.1,0.1,0.1,12.5,117.5
20,14,0.5,0.1,0.1,0.1,15,115
10,15,0.5,0.1,0.1,0.1,0,140
11,15,0.5,0.1,0.1,0.1,0,140
12,15,0.5,0.1,0.1,0.1,0,140
13,15,0.5,0.1,0.1,0.1,0,140
14,15,0.5,0.1,0.1,0.1,0,140
15,15,0.5,0.1,0.1,0.1,0,140
16,15,0.5,0.1,0.1,0.1,2.5,137.5
17,15,0.5,0.1,0.1,0.1,5,135
18,15,0.5,0.1,0.1,0.1,7.5,132.5
19,15,0.5,0.1,0.1,0.1,10,130
20,15,0.5,0.1,0.1,0.1,12.5,127.5
10,16,0.5,0.1,0.1,0.1,0,150
11,16,0.5,0.1,0.1,0.1,0,150
12,16,0.5,0.1,0.1,0.1,0,150
13,16,0.5,0.1,0.1,0.1,0,150
14,16,0.5,0.1,0.1,0.1,0,150
15,16,0.5,0.1,0.1,0.1,0,150
16,16,0.5,0.1,0.1,0.1,0,150
17,16,0.5,0.1,0.1,0.1,2.5,147.5
18,16,0.5,0.1,0.1,0.1,5,145
19,16,0.5,0.1,0.1,0.1,7.5,142.5
20,16,0.5,0.1,0.1,0.1,10,140
10,17,0.5,0.1,0.1,0.1,0,160
11,17,0.5,0.1,0.1,0.1,0,160
12,17,0.5,0.1,0.1,0.1,0,160
13,17,0.5,0.1,0.1,0.1,0,160
14,17,0.5,0.1,0.1,0.1,0,160
15,17,0.5,0.1,0.1,0.1,0,160
16,17,0.5,0.1,0.1,0.1,0,160
17,17,0.5,0.1,0.1,0.1,0,160
18,17,0.5,0.1,0.1,0.1,2.5,157.5
19,17,0.5,0.1,0.1,0.1,5,155
20,17,0.5,0.1,0.1,0.1,7.5,152.5
10,18,0.5,0.1,0.1,0.1,0,170
11,18,0.5,0.1,0.1,0.1,0,170
12,18,0.5,0.1,0.1,0.1,0,170
13,18,0.5,0.1,0.1,0.1,0,170
14,18,0.5,0.1,0.1,0.1,0,170
15,18,0.5,0.1,0.1,0.1,0,170
16,18,0.5,0.1,0.1,0.1,0,170
17,18,0.5,0.1,0.1,0.1,0,170
18,18,0.5,0.1,0.1,0.1,0,170
19,18,0.5,0.1,0.1,0.1,2.5,167.5
20,18,0.5,0.1,0.1,0.1,5,165
10,19,0.5,0.1,0.1,0.1,0,180
11,19,0.5,0.1,0.1,0.1,0,180
12,19,0.5,0.1,0.1,0.1,0,180
13,19,0.5,0.1,0.1,0.1,0,180
14,19,0.5,0.1,0.1,0.1,0,180
15,19,0.5,0.1,0.1,0.1,0,180
16,19,0.5,0.1,0.1,0.1,0,180
17,19,0.5,0.1,0.1,0.1,0,180
18,19,0.5,0.1,0.1,0.1,0,180
19,19,0.5,0.1,0.1,0.1,0,180
20,19,0.5,0.1,0.1,0.1,2.5,177.5
10,20,0.5,0.1,0.1,0.1,0,190
11,20,0.5,0.1,0.1,0.1,0,190
12,20,0.5,0.1,0.1,0.1,0,190
13,20,0.5,0.1,0.1,0.1,0,190
14,20,0.5,0.1,0.1,0.1,0,190
15,20,0.5,0.1,0.1,0.1,0,190
16,20,0.5,0.1,0.1,0.1,0,190
17,20,0.5,0.1,0.1,0.1,0,190
18,20,0.5,0.1,0.1,0.1,0,190
19,20,0.5,0.1,0.1,0.1,0,190
20,20,0.5,0.1,0.1,0.1,0,190
10,10,0.1,0.3,0.1,0.1,90,0
11,10,0.1,0.3,0.1,0.1,85,5
12,10,0.1,0.3,0.1,0.1,80,10
13,10,0.1,0.3,0.1,0.1,75,15
14,10,0.1,0.3,0.1,0.1,70,20
15,10,0.1,0.3,0.1,0.1,65,25
16,10,0.1,0.3,0.1,0.1,60,30
17,10,0.1,0.3,0.1,0.1,55,35
18,10,0.1,0.3,0.1,0.1,50,40
19,10,0.1,0.3,0.1,0.1,45,45
20,10,0.1,0.3,0.1,0.1,40,50
10,11,0.1,0.3,0.1,0.1,90,0
11,11,0.1,0.3,0.1,0.1,100,0
12,11,0.1,0.3,0.1,0.1,95,5
13,11,0.1,0.3,0.1,0.1,90,10
14,11,0.1,0.3,0.1,0.1,85,15
15,11,0.1,0.3,0.1,0.1,80,20
16,11,0.1,0.3,0.1,0.1,75,25
17,11,0.1,0.3,0.1,0.1,70,30
18,11,0.1,0.3,0.1,0.1,65,35
19,11,0.1,0.3,0.1,0.1,60,40
20,11,0.1,0.3,0.1,0.1,55,45
10,12,0.1,0.3,0.1,0.1,90,0
11,12,0.1,0.3,0.1,0.1,100,0
12,12,0.1,0.3,0.1,0.1,110,0
13,12,0.1,0.3,0.1,0.1,105,5
14,12,0.1,0.3,0.1,0.1,100,10
15,12,0.1,0.3,0.1,0.1,95,15
16,12,0.1,0.3,0.1,0.1,90,20
17,12,0.1,0.3,0.1,0.1,85,25
18,12,0.1,0.3,0.1,0.1,80,30
19,12,0.1,0.3,0.1,0.1,75,35
20,12,0.1,0.3,0.1,0.1,70,40
10,13,0.1,0.3,0.1,0.1,90,0
11,13,0.1,0.3,0.1,0.1,100,0
12,13,0.1,0.3,0.1,0.1,110,0
13,13,0.1,0.3,0.1,0.1,120,0
14,13,0.1,0.3,0.1,0.1,115,5
15,13,0.1,0.3,0.1,0.1,110,10
16,13,0.1,0.3,0.1,0.1,105,15
17,13,0.1,0.3,0.1,0.1,100,20
18,13,0.1,0.3,0.1,0.1,95,25
19,13,0.1,0.3,0.1,0.1,90,30
20,13,0.1,0.3,0.1,0.1,85,35
10,14,0.1,0.3,0.1,0.1,90,0
11,14,0.1,0.3,0.1,0.1,100,0
12,14,0.1,0.3,0.1,0.1,110,0
13,14,0.1,0.3,0.1,0.1,120,0
14,14,0.1,0.3,0.1,0.1,130,0
15,14,0.1,0.3,0.1,0.1,125,5
16,14,0.1,0.3,0.1,0.1,120,10
17,14,0.1,0.3,0.1,0.1,115,15
18,14,0.1,0.3,0.1,0.1,110,20
19,14,0.1,0.3,0.1,0.1,105,25
20,14,0.1,0.3,0.1,0.1,100,30
10,15,0.1,0.3,0.1,0.1,90,0
11,15,0.1,0.3,0.1,0.1,100,0
12,15,0.1,0.3,0.1,0.1,110,0
13,15,0.1,0.3,0.1,0.1,120,0
14,15,0.1,0.3,0.1,0.1,130,0
15,15,0.1,0.3,0.1,0.1,140,0
16,15,0.1,0.3,0.1,0.1,135,5
17,15,0.1,0.3,0.1,0.1,130,10
18,15,0.1,0.3,0.1,0.1,125,15
19,15,0.1,0.3,0.1,0.1,120,20
20,15,0.1,0.3,0.1,0.1,115,25
10,16,0.1,0.3,0.1,0.1,90,0
11,16,0.1,0.3,0.1,0.1,100,0
12,16,0.1,0.3,0.1,0.1,110,0
13,16,0.1,0.3,0.1,0.1,120,0
14,16,0.1,0.3,0.1,0.1,130,0
15,16,0.1,0.3,0.1,0.1,140,0
16,16,0.1,0.3,0.1,0.1,150,0
17,16,0.1,0.3,0.1,0.1,145,5
18,16,0.1,0.3,0.1,0.1,140,10
19,16,0.1,0.3,0.1,0.1,135,15
20,16,0.1,0.3,0.1,0.1,130,20
10,17,0.1,0.3,0.1,0.1,90,0
11,17,0.1,0.3,0.1,0.1,100,0
12,17,0.1,0.3,0.1,0.1,110,0
13,17,0.1,0.3,0.1,0.1,120,0
14,17,0.1,0.3,0.1,0.1,130,0
15,17,0.1,0.3,0.1,0.1,140,0
16,17,0.1,0.3,0.1,0.1,150,0
17,17,0.1,0.3,0.1,0.1,160,0
18,17,0.1,0.3,0.1,0.1,155,5
19,17,0.1,0.3,0.1,0.1,150,10
20,17,0.1,0.3,0.1,0.1,145,15
10,18,0.1,0.3,0.1,0.1,90,0
11,18,0.1,0.3,0.1,0.1,100,0
12,18,0.1,0.3,0.1,0.1,110,0
13,18,0.1,0.3,0.1,0.1,120,0
14,18,0.1,0.3,0.1,0.1,130,0
15,18,0.1,0.3,0.1,0.1,140,0
16,18,0.1,0.3,0.1,0.1,150,0
17,18,0.1,0.3,0.1,0.1,160,0
18,18,0.1,0.3,0.1,0.1,170,0
19,18,0.1,0.3,0.1,0.1,165,5
20,18,0.1,0.3,0.1,0.1,160,10
10,19,0.1,0.3,0.1,0.1,90,0
11,19,0.1,0.3,0.1,0.1,100,0
12,19,0.1,0.3,0.1,0.1,110,0
13,19,0.1,0.3,0.1,0.1,120,0
14,19,0.1,0.3,0.1,0.1,130,0
15,19,0.1,0.3,0.1,0.1,140,0
16,19,0.1,0.3,0.1,0.1,150,0
17,19,0.1,0.3,0.1,0.1,160,0
18,19,0.1,0.3,0.1,0.1,170,0
19,19,0.1,0.3,0.1,0.1,180,0
20,19,0.1,0.3,0.1,0.1,175,5
10,20,0.1,0.3,0.1,0.1,90,0
11,20,0.1,0.3,0.1,0.1,100,0
12,20,0.1,0.3,0.1,0.1,110,0
13,20,0.1,0.3,0.1,0.1,120,0
14,20,0.1,0.3,0.1,0.1,130,0
15,20,0.1,0.3,0.1,0.1,140,0
16,20,0.1,0.3,0.1,0.1,150,0
17,20,0.1,0.3,0.1,0.1,160,0
18,20,0.1,0.3,0.1,0.1,170,0
19,20,0.1,0.3,0.1,0.1,180,0
20,20,0.1,0.3,0.1,0.1,190,0
10,10,0.3,0.3,0.1,0.1,0.3,88.8
11,10,0.3,0.3,0.1,0.1,0.333333333333333,88.7666666666667
12,10,0.3,0.3,0.1,0.1,0.366666666666667,88.7333333333333
13,10,0.3,0.3,0.1,0.1,0.4,88.7
14,10,0.3,0.3,0.1,0.1,0.433333333333333,88.6666666666667
15,10,0.3,0.3,0.1,0.1,0.5,88.6
16,10,0.3,0.3,0.1,0.1,0.6,88.5
17,10,0.3,0.3,0.1,0.1,0.7,88.4
18,10,0.3,0.3,0.1,0.1,0.8,88.3
19,10,0.3,0.3,0.1,0.1,0.9,88.2
20,10,0.3,0.3,0.1,0.1,1.1,88
10,11,0.3,0.3,0.1,0.1,0.3,98.7
11,11,0.3,0.3,0.1,0.1,0.333333333333333,98.6666666666667
12,11,0.3,0.3,0.1,0.1,0.366666666666667,98.6333333333333
13,11,0.3,0.3,0.1,0.1,0.4,98.6
14,11,0.3,0.3,0.1,0.1,0.433333333333333,98.5666666666667
15,11,0.3,0.3,0.1,0.1,0.466666666666667,98.5333333333333
16,11,0.3,0.3,0.1,0.1,0.5,98.5
17,11,0.3,0.3,0.1,0.1,0.6,98.4
18,11,0.3,0.3,0.1,0.1,0.7,98.3
19,11,0.3,0.3,0.1,0.1,0.8,98.2
20,11,0.3,0.3,0.1,0.1,0.9,98.1
10,12,0.3,0.3,0.1,0.1,0.3,108.6
11,12,0.3,0.3,0.1,0.1,0.333333333333333,108.566666666667
12,12,0.3,0.3,0.1,0.1,0.366666666666667,108.533333333333
13,12,0.3,0.3,0.1,0.1,0.4,108.5
14,12,0.3,0.3,0.1,0.1,0.433333333333333,108.466666666667
15,12,0.3,0.3,0.1,0.1,0.466666666666667,108.433333333333
16,12,0.3,0.3,0.1,0.1,0.5,108.4
17,12,0.3,0.3,0.1,0.1,0.533333333333333,108.366666666667
18,12,0.3,0.3,0.1,0.1,0.6,108.3
19,12,0.3,0.3,0.1,0.1,0.7,108.2
20,12,0.3,0.3,0.1,0.1,0.8,108.1
10,13,0.3,0.3,0.1,0.1,0.3,118.5
11,13,0.3,0.3,0.1,0.1,0.333333333333333,118.466666666667
12,13,0.3,0.3,0.1,0.1,0.366666666666667,118.433333333333
13,13,0.3,0.3,0.1,0.1,0.4,118.4
14,13,0.3,0.3,0.1,0.1,0.433333333333333,118.366666666667
15,13,0.3,0.3,0.1,0.1,0.466666666666667,118.333333333333
16,13,0.3,0.3,0.1,0.1,0.5,118.3
17,13,0.3,0.3,0.1,0.1,0.533333333333333,118.266666666667
18,13,0.3,0.3,0.1,0.1,0.566666666666667,118.233333333333
19,13,0.3,0.3,0.1,0.1,0.6,118.2
20,13,0.3,0.3,0.1,0.1,0.7,118.1
10,14,0.3,0.3,0.1,0.1,0.3,128.4
11,14,0.3,0.3,0.1,0.1,0.333333333333333,128.366666666667
12,14,0.3,0.3,0.1,0.1,0.366666666666667,128.333333333333
13,14,0.3,0.3,0.1,0.1,0.4,128.3
14,14,0.3,0.3,0.1,0.1,0.433333333333333,128.266666666667
15,14,0.3,0.3,0.1,0.1,0.466666666666667,128.233333333333
16,14,0.3,0.3,0.1,0.1,0.5,128.2
17,14,0.3,0.3,0.1,0.1,0.533333333333333,128.166666666667
18,14,0.3,0.3,0.1,0.1,0.566666666666667,128.133333333333
19,14,0.3,0.3,0.1,0.1,0.6,128.1
20,14,0.3,0.3,0.1,0.1,0.633333333333333,128.066666666667
10,15,0.3,0.3,0.1,0.1,0.3,138.3
11,15,0.3,0.3,0.1,0.1,0.333333333333333,138.266666666667
