"l1","l2","a12","a21","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
10,10,0.1,0.5,8.2056081630056,8.21773324714501,4.37117791983339,4.46153846153846,0.849345993672426,0.953579276614615,31.5405,23,30.8275862068966,21,31.5436105476673,23,0.0145,0.986
10,11,0.1,0.5,8.17166647625262,8.17396825396825,5.21464840473855,5.35840874811463,0.734251507544792,0.971114317883264,55.3505,40,42.5593220338983,29,55.7393096342092,41,0.0295,0.9705
11,11,0.1,0.5,9.14656182822054,9.15555555555556,4.78936769602916,4.90374056280027,0.785870779134127,0.967341897438819,39.495,30,31,21.5,39.5120240480962,30,0.002,0.998
10,12,0.1,0.5,8.10632400136991,8.1064701778863,6.20026558788056,6.39189901593252,0.662755591600434,1.02483330562881,102.1085,71,99.4927536231884,68.5,102.302363050483,72,0.069,0.931
11,12,0.1,0.5,9.17293047379817,9.16196343402226,5.63833872602997,5.80239735859891,0.67705476832767,0.980595685619468,70.6755,51,70.32,52,70.68,51,0.0125,0.9875
12,12,0.1,0.5,10.1290194098209,10.15,5.17786507454054,5.31537505180274,0.736465840603853,0.998114354840454,49.8935,36,84.8571428571429,60,49.7706974410437,36,0.0035,0.9965
10,13,0.1,0.5,7.99448931480447,7.98926989241125,7.34279188462552,7.48988253126184,0.552167998524865,0.857419706707091,205.6245,139,204.693877551020,146,205.754415954416,138,0.1225,0.8775
11,13,0.1,0.5,9.08293286559775,9.0721615274658,6.61883290488305,6.85363253161418,0.595192550634861,1.01456315033255,134.792,95,147.127272727273,92,134.443187660668,95,0.0275,0.9725
12,13,0.1,0.5,10.0831722440518,10.075,6.14378636586402,6.33164417177914,0.684254714663656,1.00917059871462,89.056,63,128,101,88.702320887992,63,0.009,0.991
13,13,0.1,0.5,11.0819806163307,11.1045183714002,5.68479311852085,5.83761430876815,0.74754124616538,1.01202793942708,60.668,43,36.5,36.5,60.6921921921922,43,0.001,0.999
10,14,0.1,0.5,7.84950478038194,7.87311733712133,8.49481408414244,8.62607623813378,0.522772210126293,0.771333424511221,374.6745,269,371.307826086957,255,376.032982456140,277,0.2875,0.7125
11,14,0.1,0.5,8.97556634031604,8.97107213908124,7.82199165711697,7.9960434864281,0.52206486898391,0.867807465338254,275.8405,185.5,255.254237288136,158,277.131243358130,187,0.059,0.941
12,14,0.1,0.5,10.0356429823028,10.0357142857143,7.19446577703713,7.39237451737452,0.535045961467548,0.939376693559109,175.723,123,203.592592592593,156,175.341611758743,123,0.0135,0.9865
13,14,0.1,0.5,11.1068959918172,11.1072904368359,6.60388404863013,6.8088023088023,0.626178815456383,0.98787894524997,112.3375,78,51.4,48,112.490225563910,78,0.0025,0.9975
14,14,0.1,0.5,12.0609565136012,12.0870829120324,6.11418091549082,6.26702317290553,0.73078700068981,1.02610591212716,78.19,55,NaN,NA,78.19,55,0,1
10,15,0.1,0.5,7.72288316748087,7.75422197642954,9.676210603425,9.73089076997823,0.408500076510105,0.543061016567259,618.8415,444.5,627.878316559927,468,608.166299559471,423,0.5465,0.454
11,15,0.1,0.5,8.87140561193946,8.8548877274487,8.99436940635231,9.11575351777581,0.394114875539724,0.72941693018752,567.55,394,590.100323624595,430,563.429331756357,389,0.1545,0.8455
12,15,0.1,0.5,9.94068851547203,9.937788105123,8.34424922966038,8.49460246360582,0.489177081832103,0.768668131707757,366.3,252,380.697368421053,299,365.731288981289,249.5,0.038,0.962
13,15,0.1,0.5,10.9973267710402,10.986934751995,7.72815149458121,7.90198246282882,0.508687549996843,0.859525271069384,231.369,160,178.666666666667,94,231.767254408060,160,0.0075,0.9925
14,15,0.1,0.5,12.0540122008270,12.0373217468806,7.09580385907291,7.32373653686827,0.563699326004211,0.99214121446446,151.7435,110,128.333333333333,104,151.778668002003,110,0.0015,0.9985
15,15,0.1,0.5,13.0113078131546,13.0493902439024,6.60073685792493,6.75690945182471,0.696217568227405,0.994374105091298,98.5075,71,21,21,98.585085085085,71,0.001,0.999
10,16,0.1,0.5,7.56175205067731,7.61568375422148,10.7924623356054,10.8349754093056,0.434063969843056,0.519335345018631,741.559,523,728.064779874214,511.5,793.890243902439,550,0.795,0.205
11,16,0.1,0.5,8.72462444317194,8.73312413421408,10.1704618329383,10.2425361149254,0.338328470484519,0.556491425462702,1044.5405,718.5,1005.50269541779,719,1067.56597774245,715,0.371,0.629
12,16,0.1,0.5,9.83704801532449,9.82670699465487,9.52794333157164,9.63317046688382,0.352287911122486,0.576495226436789,804.52,556,809.329479768786,655,804.064586754242,552,0.0865,0.9135
13,16,0.1,0.5,10.8986266574706,10.8931404618831,8.87110376634763,9.02287258777029,0.420449012595053,0.792785053043795,474.3285,333,475.846153846154,293.5,474.308510638298,333.5,0.013,0.987
14,16,0.1,0.5,11.9616553086046,11.9665809996455,8.26295078787426,8.43357843137255,0.478203729739995,0.85831140126555,285.9735,196.5,141,141,286.118618618619,197,0.001,0.999
15,16,0.1,0.5,12.993185098097,13,7.6383769556013,7.82930803143569,0.584766652883158,0.967736668310462,179.0795,126,119.5,119.5,179.139139139139,126,0.001,0.999
16,16,0.1,0.5,13.9967435234377,14.0269316596932,7.05108863832876,7.22557928214448,0.662303172452683,1.03548334443209,115.7635,83,NaN,NA,115.7635,83,0,1
10,17,0.1,0.5,7.44331887820906,7.4987482397121,11.9246933633403,11.9408564814815,0.388766957873279,0.494890877166107,733.9795,512.5,730.636216216216,512.5,775.213333333333,520.5,0.925,0.075
11,17,0.1,0.5,8.56443250945296,8.60184217255529,11.3252231654610,11.3498366320908,0.37678872182759,0.444473173152419,Inf,1060,1506.57365549493,1048,1547.54621848739,1069.5,0.6415,0.357
12,17,0.1,0.5,9.69291379315037,9.69654550126733,10.6934243404449,10.7506254473927,0.287007245130701,0.480504745188881,Inf,1118,1560.38997821351,1095,1634.40832249675,1122,0.2295,0.769
13,17,0.1,0.5,10.786387971552,10.7835942892983,10.0375209186070,10.1394769854289,0.340080923710652,0.61018974487057,1050.4415,723.5,1182.02272727273,863.5,1044.38546025105,711,0.044,0.956
14,17,0.1,0.5,11.8720054918351,11.8681124452923,9.39913151138354,9.52906799352219,0.332991031667733,0.710486896541338,624.583,432.5,665,705,624.27758186398,432,0.0075,0.9925
15,17,0.1,0.5,12.9492107815421,12.9404616387565,8.7503747786092,8.93441518943344,0.507110356258715,0.865995900610744,366.376,255.5,274.4,221,366.606516290727,256,0.0025,0.9975
16,17,0.1,0.5,13.9636702143878,13.9593984157568,8.17115027815903,8.34451829616924,0.506696704894431,0.881995431890892,241.829,165,65,65,241.917458729365,165,5e-04,0.9995
17,17,0.1,0.5,14.9689735888658,15,7.56034906388128,7.75565059763213,0.66186581760139,1.02556505710392,151.662,103,NaN,NA,151.662,103,0,1
