"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
16,13,0.7,0.9,0.1,0.9,5,12.77,1.23,1,0.81,5.09,0.28,-4.09,15.88,5.55827229541377,5.53333333333333,12.0947381152968,12.1111111111111,1.53390512098874,0.978757351123176,26.308,20,26.308,20,NaN,NA,1,0
17,13,0.7,0.9,0.1,0.9,6.66,12.59,1.3,1,0.76,5.17,0.34,-4.17,12.36,6.54959221809822,6.66666666666667,12.1687042312017,12.1488163421153,1.65487973887840,0.86006687560425,41.093,32,41.093,32,NaN,NA,1,0
15,14,0.7,0.9,0.1,0.9,1.66,14.25,1.07,1,0.93,5,0.1,-4,25.18,4.54014245633493,4.42857142857143,12.9323219768743,12.9710084033613,1.26947260639044,1.19332327946854,15.156,12,15.156,12,NaN,NA,1,0
16,14,0.7,0.9,0.1,0.9,3.33,14.07,1.14,1,0.87,5.09,0.19,-4.09,21.96,5.10305291464225,5.07229965156794,13.0627121005527,13.0869565217391,1.39349293378743,1.09945302188834,19.87,16,19.87,16,NaN,NA,1,0
17,14,0.7,0.9,0.1,0.9,5,13.88,1.21,1,0.82,5.17,0.26,-4.17,18.51,5.80188525024677,5.78019323671498,13.1528158372407,13.1557112068966,1.53487072277704,0.977992271295544,27.59,21,27.59,21,NaN,NA,1,0
18,14,0.7,0.9,0.1,0.9,6.66,13.7,1.28,1,0.77,5.25,0.32,-4.25,14.96,6.6613704577686,6.79310344827586,13.1672858743926,13.1863425925926,1.65746158885161,0.8587498563116,40.627,31,40.627,31,NaN,NA,1,0
16,15,0.7,0.9,0.1,0.9,1.66,15.37,1.06,1,0.93,5.09,0.09,-4.09,28.03,4.7715869906894,4.625,13.9749746981834,14,1.29873877762827,1.20246366699853,16.178,13,16.178,13,NaN,NA,1,0
17,15,0.7,0.9,0.1,0.9,3.33,15.18,1.13,1,0.88,5.17,0.17,-4.17,24.7,5.30526728033929,5.25,14.0719127615148,14.0848067126161,1.46073312517948,1.08992777195073,20.5225,17,20.5225,17,NaN,NA,1,0
18,15,0.7,0.9,0.1,0.9,5,15,1.2,1,0.83,5.25,0.25,-4.25,21.25,5.99358068145879,6,14.1213870239713,14.1321428571429,1.58573291329811,1.02206820490513,27.187,21,27.187,21,NaN,NA,1,0
19,15,0.7,0.9,0.1,0.9,6.66,14.81,1.26,1,0.78,5.32,0.31,-4.32,17.6,6.79921667171694,6.91847585290208,14.1962944717618,14.2307692307692,1.68437680947700,0.932746157664227,38.684,29,38.684,29,NaN,NA,1,0
17,16,0.7,0.9,0.1,0.9,1.66,16.48,1.06,1,0.94,5.17,0.09,-4.17,30.89,4.99492683582523,4.88888888888889,14.9526132155409,15,1.35537710182386,1.17913704448009,16.6385,14,16.6385,14,NaN,NA,1,0
18,16,0.7,0.9,0.1,0.9,3.33,16.29,1.12,1,0.88,5.25,0.16,-4.25,27.54,5.41596243545099,5.36363636363636,15.0856108574235,15.1889880952381,1.43236794532958,1.12197384184700,20.544,16,20.544,16,NaN,NA,1,0
19,16,0.7,0.9,0.1,0.9,5,16.11,1.18,1,0.84,5.32,0.23,-4.32,23.99,6.03605931607942,6,15.1868167158521,15.2290209790210,1.56975017773635,1.02586551244091,27.5085,22,27.5085,22,NaN,NA,1,0
20,16,0.7,0.9,0.1,0.9,6.66,15.92,1.25,1,0.8,5.38,0.29,-4.38,20.27,6.89103828187553,6.95119047619048,15.3264930028813,15.3419645840294,1.69614121470975,0.946793570468584,39.851,30,39.851,30,NaN,NA,1,0
18,17,0.7,0.9,0.1,0.9,1.66,17.59,1.05,1,0.94,5.25,0.08,-4.25,33.85,5.10715242533771,5,16.0009653565020,16.05,1.34975609443112,1.26230868670894,16.7515,14,16.7515,14,NaN,NA,1,0
19,17,0.7,0.9,0.1,0.9,3.33,17.4,1.11,1,0.89,5.32,0.16,-4.32,30.39,5.62459930659995,5.52752976190476,16.1243982884044,16.1855867346939,1.53447479939726,1.14578228444820,21.033,17,21.033,17,NaN,NA,1,0
