"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
14,16,2,0.5,0.9,0.9,3.11,13.55,0.87,1.71,1.14,2.04,0.18,-0.32,1.72,3.50792605438676,3.45454545454545,11.3621310998086,11.5594117647059,0.833559886761031,1.8336764766307,17.1235,13,17.1852970795569,13,8.35714285714286,7.5,0.993,0.007
15,16,2,0.5,0.9,0.9,3.77,12.88,0.93,1.71,1.06,2.05,0.22,-0.34,1.54,3.88257947516102,3.875,11.2811129755158,11.4580419580420,0.889211425733612,1.82520151508547,21.955,17,22.0698380566802,17,12.5,7,0.988,0.012
16,16,2,0.5,0.9,0.9,4.44,12.22,1,1.71,1,2.06,0.26,-0.35,1.36,4.2516246702714,4.29603547209181,11.1101444739323,11.2941176470588,0.95886189293818,1.77583371099497,30.342,22,30.5717213114754,22,21,12,0.976,0.024
17,16,2,0.5,0.9,0.9,5.11,11.55,1.06,1.71,0.94,2.07,0.3,-0.35,1.15,4.75047820167596,4.8125,10.8243865101901,10.9834609075998,1.00277992583682,1.73445051926910,42.5175,32,43.0407838983051,32,33.6964285714286,24,0.944,0.056
18,16,2,0.5,0.9,0.9,5.77,10.88,1.12,1.71,0.88,2.08,0.34,-0.36,0.94,5.3566540529293,5.41633333333333,10.3387055116838,10.5384615384615,1.05732061536022,1.81390551346175,57.321,42.5,57.0023188405797,43,59.32,40,0.8625,0.1375
12,17,2,0.5,0.9,0.9,1.4,16.37,0.7,1.71,1.41,2.01,0.07,-0.29,2.24,2.99178320716704,2.91987179487179,12.0373848719316,12.2532051282051,0.695144511627348,2.04338697911210,9.9935,9,9.9924924924925,9,11,11,0.999,0.001
13,17,2,0.5,0.9,0.9,2.07,15.7,0.76,1.71,1.3,2.03,0.11,-0.31,2.18,3.15254403222347,3.12132352941176,12.1996475387288,12.375,0.75624000364639,1.94240928103471,12.1515,10,12.1601601601602,10,3.5,3.5,0.999,0.001
14,17,2,0.5,0.9,0.9,2.74,15.03,0.82,1.71,1.21,2.04,0.15,-0.32,2.02,3.40554563278802,3.375,12.2280739378781,12.4444444444444,0.80226572872613,1.97734608658275,14.653,12,14.6705115346038,12,8.83333333333333,5,0.997,0.003
15,17,2,0.5,0.9,0.9,3.4,14.37,0.88,1.71,1.13,2.05,0.19,-0.33,1.86,3.72101942124892,3.71428571428571,12.2358329079551,12.4285714285714,0.863014290185448,1.84228753212092,19.327,15,19.3283056812469,15,19.0909090909091,7,0.9945,0.0055
16,17,2,0.5,0.9,0.9,4.07,13.7,0.94,1.71,1.06,2.06,0.22,-0.34,1.68,4.02195831219274,4.02532051282051,12.2689638959949,12.4,0.907146170586054,1.78849215768453,24.871,19,24.9661445174330,19,15.9047619047619,8,0.9895,0.0105
17,17,2,0.5,0.9,0.9,4.74,13.03,1,1.71,1,2.07,0.26,-0.35,1.49,4.49679074473955,4.53846153846154,12.0630305167178,12.2180706521739,0.94797633888626,1.77448882908841,35.2915,26,35.3878172588832,26,28.9666666666667,20,0.985,0.015
18,17,2,0.5,0.9,0.9,5.4,12.37,1.05,1.71,0.94,2.08,0.3,-0.36,1.28,4.95101803851996,5.01686507936508,11.7638634032446,11.9259259259259,1.01161307410070,1.73132266164572,47.274,34,47.5742574257426,34,40.1604938271605,23,0.9595,0.0405
19,17,2,0.5,0.9,0.9,6.07,11.7,1.11,1.71,0.89,2.08,0.34,-0.36,1.04,5.53485922688479,5.63224516988674,11.3260127296918,11.4519969278034,0.996811358838915,1.67076524268302,69.633,49,69.5348709500275,48,70.6312849162011,53,0.9105,0.0895
12,18,2,0.5,0.9,0.9,1.03,17.85,0.66,1.72,1.5,2.01,0.05,-0.29,2.43,2.94480168594954,2.8775,12.7612017142154,13,0.691158720111058,2.19648028396476,9.357,8,9.357,8,NaN,NA,1,0
13,18,2,0.5,0.9,0.9,1.7,17.18,0.72,1.72,1.38,2.03,0.09,-0.3,2.39,3.13862480902735,3.08333333333333,13.0167896266656,13.2565789473684,0.732089022179726,2.11929885214466,11.1775,10,11.1815907953977,10,3,3,0.9995,5e-04
14,18,2,0.5,0.9,0.9,2.37,16.51,0.77,1.72,1.28,2.04,0.12,-0.32,2.26,3.3291772465672,3.28571428571429,13.1880239451777,13.4285714285714,0.75872946373115,1.98205996025063,13.4545,11,13.4544544544545,11,13.5,13.5,0.999,0.001
15,18,2,0.5,0.9,0.9,3.03,15.85,0.83,1.72,1.2,2.05,0.16,-0.33,2.11,3.60358483761465,3.57142857142857,13.1559730721198,13.4264069264069,0.823779602955021,1.95608277390612,16.3815,13,16.3816908454227,13,16,16,0.9995,5e-04
