"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
15,15,3,0.7,0.1,1,1.43,13.85,1,1.38,1,10.22,0.09,-8.83,54.89,2.65903397783298,2.6,11.8952503012271,12,0.580256336028079,1.62594136905602,8.007,7,8.007,7,NaN,NA,1,0
16,15,3,0.7,0.1,1,1.77,13.82,1.06,1.38,0.93,10.66,0.11,-9.27,55.91,2.78056776736562,2.71428571428571,12.0422461858707,12.2403846153846,0.612664381574468,1.62455103659469,9.0515,7,9.05502751375688,7,2,2,0.9995,5e-04
17,15,3,0.7,0.1,1,2.11,13.78,1.13,1.38,0.88,11.08,0.13,-9.69,56.59,2.89252502002398,2.83333333333333,12.1525619571661,12.3333333333333,0.639660859031716,1.54295496602063,10.264,8,10.264,8,NaN,NA,1,0
18,15,3,0.7,0.1,1,2.45,13.75,1.2,1.38,0.83,11.48,0.15,-10.1,57.06,3.01960598818092,3,12.3267518454522,12.4285714285714,0.672003961564112,1.46928874279859,11.9225,9,11.9274637318659,9,2,2,0.9995,5e-04
19,15,3,0.7,0.1,1,2.79,13.72,1.26,1.38,0.78,11.87,0.16,-10.48,57.32,3.15793089772532,3.125,12.4518471431895,12.6,0.692799789441424,1.38431276859712,13.6115,11,13.6115,11,NaN,NA,1,0
20,15,3,0.7,0.1,1,3.13,13.68,1.33,1.38,0.75,12.24,0.18,-10.85,57.28,3.33932843308237,3.33333333333333,12.5080643130258,12.6561576354680,0.70195177493181,1.33278636455115,16.0105,12,16.0105,12,NaN,NA,1,0
15,16,3,0.7,0.1,1,1.19,14.88,0.93,1.39,1.06,10.22,0.07,-8.83,60.44,2.64612132327345,2.58333333333333,12.6028200508431,12.75,0.563827253820313,1.76953535191872,7.543,6,7.543,6,NaN,NA,1,0
16,16,3,0.7,0.1,1,1.53,14.84,1,1.39,1,10.66,0.09,-9.27,61.69,2.73635878646522,2.66666666666667,12.7454825353539,12.8888888888889,0.607298297959246,1.73018472412656,8.4185,7,8.4185,7,NaN,NA,1,0
17,16,3,0.7,0.1,1,1.87,14.81,1.06,1.39,0.94,11.08,0.11,-9.69,62.69,2.86727121508845,2.8125,12.9520143177219,13.1428571428571,0.632133985891221,1.63926599682619,9.7015,8,9.7015,8,NaN,NA,1,0
18,16,3,0.7,0.1,1,2.21,14.77,1.12,1.39,0.88,11.48,0.13,-10.09,63.36,2.96451255844879,2.93095238095238,13.0377450851145,13.25,0.644170177775299,1.63030026784191,10.546,8,10.546,8,NaN,NA,1,0
19,16,3,0.7,0.1,1,2.55,14.74,1.18,1.39,0.84,11.87,0.14,-10.48,63.87,3.10061528286624,3.05971479500891,13.1910608352289,13.4117647058824,0.668414383922735,1.55785349033876,12.3035,10,12.3035,10,NaN,NA,1,0
20,16,3,0.7,0.1,1,2.9,14.7,1.25,1.39,0.8,12.24,0.16,-10.85,64.01,3.25140847660635,3.23833671399594,13.3184694164176,13.5469208211144,0.701956127546117,1.53263048395572,14.308,11,14.3001500750375,11,30,30,0.9995,5e-04
16,17,3,0.7,0.1,1,1.29,15.87,0.94,1.39,1.06,10.66,0.07,-9.27,67.57,2.70831724777461,2.63961038961039,13.4192302568565,13.625,0.577556764258295,1.83385619696596,7.6935,7,7.6935,7,NaN,NA,1,0
17,17,3,0.7,0.1,1,1.63,15.83,1,1.39,1,11.08,0.09,-9.69,68.79,2.82803637460324,2.75,13.6229461868525,13.8333333333333,0.637820036207744,1.79728030818508,8.7665,7,8.7665,7,NaN,NA,1,0
18,17,3,0.7,0.1,1,1.97,15.8,1.05,1.39,0.94,11.48,0.11,-10.09,69.77,2.93868389180073,2.9,13.7793266660869,14,0.647401136120633,1.65180957072775,9.992,8,9.992,8,NaN,NA,1,0
19,17,3,0.7,0.1,1,2.32,15.76,1.11,1.39,0.89,11.87,0.12,-10.48,70.42,3.05518927468583,3,13.9487613520339,14.1111111111111,0.673867497521224,1.62286682370485,11.198,9,11.198,9,NaN,NA,1,0
20,17,3,0.7,0.1,1,2.66,15.73,1.17,1.39,0.85,12.24,0.14,-10.85,70.9,3.16996733055568,3.14285714285714,14.1428658532697,14.3529411764706,0.671354701383448,1.57358005846724,13.0595,11,13.0595,11,NaN,NA,1,0
