"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
12,17,1.5,0.1,0.1,0.5,5.27,30.94,0.7,4.04,1.41,6.92,0.14,-2.87,36.96,4.7744530051842,4.86899313501144,29.4763632656705,30.0564709008770,0.669863462412758,2.04245666336185,64.7905,45,64.7905,45,NaN,NA,1,0
13,17,1.5,0.1,0.1,0.5,5.94,30.81,0.76,4.04,1.3,7.22,0.16,-3.17,39.54,5.41159888314654,5.5235646641018,29.8805702129207,30.2811540087361,0.617599146655589,1.63708871260779,113.2195,80,113.2195,80,NaN,NA,1,0
14,17,1.5,0.1,0.1,0.5,6.62,30.67,0.82,4.04,1.21,7.5,0.17,-3.45,41.6,6.12655046092015,6.21585757732255,30.0574972856024,30.3595952023988,0.556062737524322,1.34150706307106,210.5325,146,210.5325,146,NaN,NA,1,0
15,17,1.5,0.1,0.1,0.5,7.29,30.54,0.88,4.04,1.13,7.75,0.19,-3.71,43.12,6.85403593607254,6.9161990155814,30.1835067749915,30.3654871707631,0.460262003172665,0.911963050530677,399.738,274,399.738,274,NaN,NA,1,0
16,17,1.5,0.1,0.1,0.5,7.97,30.4,0.94,4.04,1.06,8,0.2,-3.95,44.41,7.58032491656831,7.62186866528546,30.1979814740608,30.2886493960145,0.333069560200807,0.585686700177999,784.625,539,784.625,539,NaN,NA,1,0
17,17,1.5,0.1,0.1,0.5,8.64,30.27,1,4.04,1,8.22,0.22,-4.17,45.2,8.30116962912243,8.34149828985529,30.1075260631652,30.1756133752587,0.321438347308595,0.561582542512565,1652.419,1173.5,1652.419,1173.5,NaN,NA,1,0
18,17,1.5,0.1,0.1,0.5,9.32,30.13,1.05,4.04,0.94,8.43,0.23,-4.38,45.67,9.01220013932055,9.03600647870324,30.0152677063099,30.0541193586480,0.235158667827034,0.38076112591031,3151.1835,2154.5,3151.1835,2154.5,NaN,NA,1,0
19,17,1.5,0.1,0.1,0.5,10,30,1.11,4.04,0.89,8.63,0.25,-4.58,45.9,9.7297392295346,9.74368398178417,29.9124643778004,29.9247412149838,0.148009826596240,0.198543613364416,Inf,4453.5,6384.72709063595,4450,NaN,NA,0.9985,0
20,17,1.5,0.1,0.1,0.5,10.67,29.86,1.17,4.04,0.85,8.82,0.26,-4.77,45.86,10.4271236718423,10.4346184007533,29.7746296900741,29.7878577550583,0.143954461275932,0.144794982891886,Inf,9623.5,12282.3111905979,9402,NaN,NA,0.9785,0
11,18,1.5,0.1,0.1,0.5,4.45,33.1,0.61,4.09,1.63,6.6,0.11,-2.5,35.95,4.11971270048719,4.14285714285714,30.6871952979424,31.4574275362319,0.694303003489942,2.74529305459962,34.86,25,34.86,25,NaN,NA,1,0
12,18,1.5,0.1,0.1,0.5,5.13,32.97,0.66,4.09,1.5,6.92,0.13,-2.83,39.39,4.6567163817957,4.72727272727273,31.3360543197385,32,0.669927576137842,2.25368141704004,59.4205,44,59.4205,44,NaN,NA,1,0
13,18,1.5,0.1,0.1,0.5,5.81,32.83,0.72,4.09,1.38,7.22,0.15,-3.13,42.28,5.2756669184012,5.36686312456017,31.7077077998057,32.212443584784,0.637940177077088,1.86766259001476,98.195,70,98.195,70,NaN,NA,1,0
