"ID","a12","l1","l2","a21","meanN1","medN1","meanN2","medN2","MTC","sdN1","sdN2","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2","E1","S1","E2","S2","Rank1","Rank2","CoexistRank","Asy"
1,0.10,10,10,0.30,8.12,8.15,5.94,6.07,127.27,0.62,0.73,91.00,117.83,78.00,127.91,91.00,0.06,0.93,1.00,5.26,1.00,2.70,1,2,0,2.56
2,0.10,10,10,0.40,8.21,8.20,5.06,5.19,59.03,0.73,0.88,42.00,44.44,28.00,59.28,43.00,0.01,0.98,1.00,5.26,1.00,2.17,1,2,0,3.08
3,0.10,10,10,0.50,8.20,8.21,4.37,4.46,31.54,0.84,0.95,23.00,30.82,21.00,31.54,23.00,0.01,0.98,1.00,5.26,1.00,1.81,1,2,0,3.44
4,0.10,10,10,0.60,8.15,8.16,3.88,3.89,20.10,0.92,0.95,15.00,22.50,9.50,20.08,15.00,7.0e-03,0.99,1.00,5.26,1.00,1.56,1,2,0,3.70
5,0.10,10,10,0.70,8.11,8.11,3.54,3.50,14.93,1.00,0.90,11.00,8.71,7.00,14.95,11.00,3.5e-03,0.99,1.00,5.26,1.00,1.36,1,2,0,3.89
6,0.10,10,10,0.80,8.04,8.00,3.30,3.25,11.71,1.06,0.86,9.00,15.28,9.00,11.71,9.00,3.5e-03,0.99,1.00,5.26,1.00,1.21,1,2,0,4.04
7,0.10,10,10,0.90,8.07,8.00,3.12,3.00,9.70,1.14,0.82,8.00,11.20,13.00,9.70,8.00,2.5e-03,0.99,1.00,5.26,1.00,1.09,1,2,0,4.16
8,0.10,10,10,1.00,7.94,8.00,2.98,2.90,8.71,1.12,0.75,7.00,8.33,5.00,8.71,7.00,1.5e-03,0.99,1.00,5.26,1.00,1.00,1,2,0,4.26
9,0.20,10,10,0.30,7.39,7.42,6.20,6.33,139.27,0.69,0.82,99.00,127.13,89.50,142.53,101.50,0.21,0.78,1.00,3.57,1.00,2.70,1,2,0,0.86
10,0.20,10,10,0.40,7.57,7.59,5.27,5.40,64.39,0.84,0.94,44.00,62.32,46.00,64.59,44.00,0.06,0.93,1.00,3.57,1.00,2.17,1,2,0,1.39
11,0.20,10,10,0.50,7.61,7.66,4.58,4.69,34.24,0.95,1.01,25.00,32.82,29.00,34.28,25.00,0.03,0.96,1.00,3.57,1.00,1.81,1,2,0,1.75
12,0.20,10,10,0.60,7.67,7.64,4.04,4.09,22.04,1.00,1.01,16.00,19.64,16.00,22.09,16.00,0.01,0.98,1.00,3.57,1.00,1.56,1,2,0,2.00
13,0.20,10,10,0.70,7.69,7.71,3.67,3.62,15.79,1.08,0.96,12.00,11.52,8.00,15.84,12.00,0.01,0.98,1.00,3.57,1.00,1.36,1,2,0,2.20
14,0.20,10,10,0.80,7.72,7.70,3.40,3.33,13.00,1.11,0.93,10.00,8.55,8.50,13.05,10.00,0.01,0.99,1.00,3.57,1.00,1.21,1,2,0,2.35
15,0.20,10,10,0.90,7.67,7.69,3.22,3.14,10.52,1.15,0.87,9.00,7.50,5.50,10.54,9.00,6.0e-03,0.99,1.00,3.57,1.00,1.09,1,2,0,2.47
16,0.20,10,10,1.00,7.60,7.60,3.04,3.00,9.00,1.18,0.82,7.00,6.27,4.00,9.02,7.00,5.5e-03,0.99,1.00,3.57,1.00,1.00,1,2,0,2.57
17,0.30,10,10,0.20,6.19,6.32,7.36,7.40,133.46,0.81,0.72,91.00,135.05,93.00,127.56,86.50,0.79,0.20,1.00,2.70,1.00,3.57,2,1,0,-0.86
18,0.30,10,10,0.30,6.48,6.59,6.48,6.57,102.98,0.95,0.97,73.00,104.45,75.00,101.49,71.00,0.50,0.49,1.00,2.70,1.00,2.70,1,2,0,0.00
19,0.30,10,10,0.40,6.82,6.86,5.59,5.74,64.59,1.00,1.02,46.00,65.30,46.00,64.37,46.00,0.23,0.76,1.00,2.70,1.00,2.17,1,2,0,0.52
20,0.30,10,10,0.50,7.05,7.06,4.87,4.98,37.35,1.07,1.14,27.00,38.00,27.00,37.27,27.00,0.12,0.87,1.00,2.70,1.00,1.81,1,2,0,0.88
21,0.30,10,10,0.60,7.21,7.22,4.24,4.29,25.08,1.12,1.12,18.00,23.76,18.00,25.15,18.00,0.05,0.94,1.00,2.70,1.00,1.56,1,2,0,1.14
22,0.30,10,10,0.70,7.27,7.31,3.86,3.81,17.94,1.17,1.06,13.00,13.08,9.00,18.12,14.00,0.03,0.96,1.00,2.70,1.00,1.36,1,2,0,1.33
23,0.30,10,10,0.80,7.30,7.32,3.55,3.50,13.77,1.19,1.03,11.00,10.73,8.00,13.84,11.00,0.02,0.97,1.00,2.70,1.00,1.21,1,2,0,1.48
24,0.30,10,10,0.90,7.30,7.31,3.32,3.21,11.30,1.20,0.93,9.00,11.82,8.00,11.31,9.00,0.01,0.98,1.00,2.70,1.00,1.09,1,2,0,1.60
25,0.30,10,10,1.00,7.26,7.27,3.16,3.00,9.82,1.19,0.91,8.00,8.28,8.00,9.84,8.00,0.01,0.98,1.00,2.70,1.00,1.00,1,2,0,1.70
26,0.40,10,10,0.20,5.29,5.41,7.56,7.58,64.78,0.93,0.88,47.00,65.73,47.00,54.34,38.00,0.91,0.08,1.00,2.17,1.00,3.57,2,1,0,-1.39
27,0.40,10,10,0.30,5.63,5.77,6.84,6.86,67.41,1.01,0.97,47.00,67.50,47.00,67.10,49.00,0.73,0.26,1.00,2.17,1.00,2.70,2,1,0,-0.52
28,0.40,10,10,0.40,5.99,6.08,6.00,6.05,54.11,1.17,1.18,38.00,54.01,38.00,54.21,38.00,0.51,0.48,1.00,2.17,1.00,2.17,1,2,0,0.00
29,0.40,10,10,0.50,6.30,6.40,5.21,5.29,38.25,1.23,1.24,27.00,36.36,25.00,39.00,28.00,0.28,0.71,1.00,2.17,1.00,1.81,1,2,0,0.35
30,0.40,10,10,0.60,6.61,6.70,4.52,4.50,26.05,1.34,1.28,19.00,23.11,18.00,26.58,19.00,0.15,0.84,1.00,2.17,1.00,1.56,1,2,0,0.61
31,0.40,10,10,0.70,6.79,6.85,4.04,3.96,18.80,1.28,1.19,14.00,16.43,12.00,19.05,14.00,0.09,0.90,1.00,2.17,1.00,1.36,1,2,0,0.80
32,0.40,10,10,0.80,6.81,6.86,3.73,3.66,15.10,1.30,1.15,12.00,15.45,11.00,15.08,12.00,0.06,0.93,1.00,2.17,1.00,1.21,1,2,0,0.95
33,0.40,10,10,0.90,6.89,6.94,3.44,3.28,12.28,1.30,1.11,10.00,14.05,11.00,12.21,10.00,0.04,0.95,1.00,2.17,1.00,1.09,1,2,0,1.07
34,0.40,10,10,1.00,6.90,7.00,3.27,3.10,10.38,1.32,1.03,9.00,7.12,6.00,10.49,9.00,0.03,0.96,1.00,2.17,1.00,1.00,1,2,0,1.17
35,0.50,10,10,0.20,4.55,4.66,7.64,7.64,34.12,1.02,0.93,24.00,34.10,24.00,34.52,24.00,0.96,0.03,1.00,1.81,1.00,3.57,2,1,0,-1.75
36,0.50,10,10,0.30,4.90,5.00,7.00,7.03,38.24,1.12,1.10,29.00,38.70,29.00,35.12,25.00,0.87,0.12,1.00,1.81,1.00,2.70,2,1,0,-0.88
37,0.50,10,10,0.40,5.21,5.32,6.31,6.37,38.12,1.27,1.23,27.00,38.05,27.00,38.31,27.00,0.71,0.28,1.00,1.81,1.00,2.17,2,1,0,-0.35
38,0.50,10,10,0.50,5.56,5.68,5.62,5.67,33.30,1.40,1.38,24.00,33.20,24.00,33.39,25.00,0.50,0.49,1.00,1.81,1.00,1.81,1,2,0,0.00
39,0.50,10,10,0.60,5.90,5.98,4.92,4.93,25.98,1.46,1.43,19.00,26.04,20.00,25.93,19.00,0.32,0.67,1.00,1.81,1.00,1.56,1,2,0,0.25
40,0.50,10,10,0.70,6.19,6.30,4.34,4.28,20.21,1.49,1.36,15.00,20.47,14.50,20.15,15.00,0.19,0.80,1.00,1.81,1.00,1.36,1,2,0,0.44
41,0.50,10,10,0.80,6.32,6.46,3.97,3.82,15.99,1.50,1.32,12.00,13.37,10.00,16.40,13.00,0.13,0.86,1.00,1.81,1.00,1.21,1,2,0,0.59
42,0.50,10,10,0.90,6.46,6.55,3.63,3.42,12.85,1.46,1.21,10.00,12.33,9.50,12.90,10.00,0.08,0.91,1.00,1.81,1.00,1.09,1,2,0,0.71
43,0.50,10,10,1.00,6.51,6.61,3.41,3.20,11.11,1.44,1.16,9.00,10.28,7.00,11.16,9.00,0.06,0.93,1.00,1.81,1.00,1.00,1,2,0,0.81
44,0.60,10,10,0.20,4.01,4.04,7.75,7.76,22.28,1.02,1.01,17.00,22.28,17.00,22.60,15.00,0.98,0.01,1.00,1.56,1.00,3.57,2,1,0,-2.00
45,0.60,10,10,0.30,4.28,4.31,7.13,7.20,24.91,1.15,1.15,19.00,24.98,19.00,23.72,17.00,0.93,0.06,1.00,1.56,1.00,2.70,2,1,0,-1.14
46,0.60,10,10,0.40,4.55,4.56,6.58,6.61,26.93,1.30,1.34,19.00,26.92,19.00,26.97,19.00,0.83,0.16,1.00,1.56,1.00,2.17,2,1,0,-0.61
47,0.60,10,10,0.50,4.93,4.94,5.92,6.00,25.13,1.48,1.47,19.00,25.61,19.00,24.17,18.00,0.66,0.33,1.00,1.56,1.00,1.81,2,1,0,-0.25
48,0.60,10,10,0.60,5.33,5.40,5.26,5.28,23.54,1.58,1.55,18.00,24.01,19.00,23.11,18.00,0.48,0.52,1.00,1.56,1.00,1.56,1,2,0,0.00
49,0.60,10,10,0.70,5.52,5.65,4.72,4.66,19.09,1.62,1.55,14.00,18.66,13.00,19.34,15.00,0.35,0.65,1.00,1.56,1.00,1.36,1,2,0,0.19
50,0.60,10,10,0.80,5.80,5.98,4.23,4.03,15.91,1.57,1.47,12.00,15.08,11.00,16.17,12.00,0.23,0.76,1.00,1.56,1.00,1.21,1,2,0,0.34
51,0.60,10,10,0.90,5.93,6.06,3.91,3.70,13.62,1.58,1.40,10.00,13.63,10.00,13.61,11.00,0.17,0.82,1.00,1.56,1.00,1.09,1,2,0,0.46
52,0.60,10,10,1.00,6.08,6.25,3.59,3.30,11.42,1.58,1.33,9.00,10.71,9.00,11.52,9.00,0.12,0.87,1.00,1.56,1.00,1.00,1,2,0,0.56
53,0.70,10,10,0.20,3.66,3.62,7.72,7.74,16.39,0.93,1.05,13.00,16.45,13.00,9.57,8.00,0.99,0.01,1.00,1.36,1.00,3.57,2,1,0,-2.20
54,0.70,10,10,0.30,3.84,3.78,7.23,7.27,17.84,1.08,1.15,14.00,17.83,14.00,18.56,10.00,0.96,0.03,1.00,1.36,1.00,2.70,2,1,0,-1.33
55,0.70,10,10,0.40,4.03,3.97,6.84,6.92,19.22,1.22,1.34,15.00,19.28,15.00,18.55,12.50,0.91,0.08,1.00,1.36,1.00,2.17,2,1,0,-0.80
56,0.70,10,10,0.50,4.41,4.32,6.12,6.23,19.59,1.39,1.47,15.00,19.44,15.00,20.12,16.00,0.78,0.21,1.00,1.36,1.00,1.81,2,1,0,-0.44
57,0.70,10,10,0.60,4.71,4.66,5.53,5.66,19.02,1.52,1.59,14.00,18.97,14.00,19.10,15.00,0.64,0.35,1.00,1.36,1.00,1.56,2,1,0,-0.19
58,0.70,10,10,0.70,5.12,5.21,4.91,4.90,16.81,1.67,1.67,13.00,16.95,13.00,16.68,13.00,0.46,0.53,1.00,1.36,1.00,1.36,1,2,0,0.00
59,0.70,10,10,0.80,5.31,5.42,4.51,4.37,15.11,1.70,1.64,12.00,14.95,11.00,15.20,12.00,0.36,0.63,1.00,1.36,1.00,1.21,1,2,0,0.15
60,0.70,10,10,0.90,5.50,5.68,4.11,3.82,13.23,1.69,1.56,10.00,12.97,10.00,13.32,11.00,0.28,0.71,1.00,1.36,1.00,1.09,1,2,0,0.27
61,0.70,10,10,1.00,5.61,5.78,3.84,3.60,11.77,1.66,1.45,9.00,10.98,9.00,11.98,10.00,0.21,0.78,1.00,1.36,1.00,1.00,1,2,0,0.36
62,0.80,10,10,0.20,3.44,3.36,7.70,7.71,12.70,0.92,1.08,10.00,12.73,10.00,8.80,7.00,0.99,7.5e-03,1.00,1.21,1.00,3.57,2,1,0,-2.35
63,0.80,10,10,0.30,3.54,3.44,7.32,7.35,13.89,1.00,1.19,11.00,13.90,11.00,13.59,11.00,0.96,0.03,1.00,1.21,1.00,2.70,2,1,0,-1.48
64,0.80,10,10,0.40,3.74,3.60,6.85,6.93,15.03,1.15,1.35,12.00,15.01,12.00,15.18,10.00,0.92,0.07,1.00,1.21,1.00,2.17,2,1,0,-0.95
65,0.80,10,10,0.50,3.95,3.80,6.41,6.50,16.02,1.29,1.45,12.00,16.15,12.00,15.08,10.50,0.87,0.12,1.00,1.21,1.00,1.81,2,1,0,-0.59
66,0.80,10,10,0.60,4.32,4.11,5.75,5.93,16.16,1.52,1.62,12.00,16.51,13.00,15.13,11.00,0.74,0.25,1.00,1.21,1.00,1.56,2,1,0,-0.34
67,0.80,10,10,0.70,4.51,4.36,5.25,5.28,14.90,1.66,1.69,12.00,14.68,12.00,15.29,12.00,0.61,0.38,1.00,1.21,1.00,1.36,2,1,0,-0.15
68,0.80,10,10,0.80,4.80,4.77,4.78,4.67,13.87,1.71,1.68,11.00,13.90,11.00,13.84,11.00,0.50,0.49,1.00,1.21,1.00,1.21,1,2,0,0.00
69,0.80,10,10,0.90,5.04,5.14,4.38,4.12,12.65,1.74,1.71,10.00,12.67,10.00,12.63,10.00,0.38,0.61,1.00,1.21,1.00,1.09,1,2,0,0.12
70,0.80,10,10,1.00,5.26,5.42,4.04,3.71,11.75,1.71,1.59,9.00,11.95,10.00,11.66,9.00,0.29,0.70,1.00,1.21,1.00,1.00,1,2,0,0.21
71,0.90,10,10,0.20,3.21,3.10,7.66,7.66,10.30,0.87,1.15,8.00,10.31,8.00,8.38,6.00,0.99,6.5e-03,1.00,1.09,1.00,3.57,2,1,0,-2.47
72,0.90,10,10,0.30,3.31,3.20,7.28,7.35,11.27,0.94,1.19,9.00,11.30,9.00,9.22,7.00,0.98,0.01,1.00,1.09,1.00,2.70,2,1,0,-1.60
73,0.90,10,10,0.40,3.44,3.25,6.87,6.90,12.03,1.09,1.31,10.00,12.12,10.00,10.00,7.00,0.95,0.04,1.00,1.09,1.00,2.17,2,1,0,-1.07
74,0.90,10,10,0.50,3.64,3.42,6.41,6.50,12.75,1.25,1.47,10.00,12.85,10.00,11.77,9.00,0.90,0.09,1.00,1.09,1.00,1.81,2,1,0,-0.71
75,0.90,10,10,0.60,3.92,3.66,5.98,6.15,13.05,1.46,1.62,10.00,13.13,10.00,12.67,10.00,0.81,0.18,1.00,1.09,1.00,1.56,2,1,0,-0.46
76,0.90,10,10,0.70,4.02,3.80,5.57,5.66,13.06,1.47,1.65,10.00,13.11,10.00,12.91,10.00,0.74,0.25,1.00,1.09,1.00,1.36,2,1,0,-0.27
77,0.90,10,10,0.80,4.38,4.15,5.01,5.10,12.86,1.65,1.74,10.00,12.90,10.00,12.77,10.00,0.60,0.39,1.00,1.09,1.00,1.21,2,1,0,-0.12
78,0.90,10,10,0.90,4.63,4.55,4.62,4.53,12.33,1.72,1.74,10.00,12.22,9.00,12.42,10.00,0.48,0.51,1.00,1.09,1.00,1.09,1,2,0,0.00
79,0.90,10,10,1.00,4.86,4.92,4.23,3.93,10.99,1.76,1.71,9.00,10.93,9.00,11.04,9.00,0.40,0.60,1.00,1.09,1.00,1.00,1,2,0,0.09
80,1.00,10,10,0.20,3.08,3.00,7.61,7.62,9.37,0.82,1.14,8.00,9.39,8.00,5.27,4.00,0.99,5.5e-03,1.00,1.00,1.00,3.57,2,1,0,-2.57
81,1.00,10,10,0.30,3.15,3.00,7.27,7.27,9.67,0.92,1.23,8.00,9.68,8.00,8.75,6.00,0.98,0.01,1.00,1.00,1.00,2.70,2,1,0,-1.70
82,1.00,10,10,0.40,3.27,3.08,6.86,6.98,10.39,1.05,1.33,8.00,10.48,9.00,7.90,6.00,0.96,0.03,1.00,1.00,1.00,2.17,2,1,0,-1.17
83,1.00,10,10,0.50,3.45,3.27,6.48,6.57,11.13,1.13,1.40,9.00,11.17,9.00,10.60,8.00,0.93,0.07,1.00,1.00,1.00,1.81,2,1,0,-0.81
84,1.00,10,10,0.60,3.58,3.33,6.12,6.25,11.37,1.26,1.55,9.00,11.47,9.00,10.62,8.00,0.88,0.11,1.00,1.00,1.00,1.56,2,1,0,-0.56
85,1.00,10,10,0.70,3.79,3.49,5.66,5.88,11.64,1.48,1.65,9.00,11.62,9.00,11.69,9.00,0.78,0.21,1.00,1.00,1.00,1.36,2,1,0,-0.36
86,1.00,10,10,0.80,4.06,3.77,5.17,5.28,11.53,1.60,1.73,9.00,11.53,9.00,11.52,9.00,0.68,0.32,1.00,1.00,1.00,1.21,2,1,0,-0.21
87,1.00,10,10,0.90,4.30,4.00,4.81,4.85,11.29,1.70,1.75,9.00,11.49,9.00,10.99,9.00,0.58,0.41,1.00,1.00,1.00,1.09,2,1,0,-0.09
88,1.00,10,10,1.00,4.43,4.26,4.51,4.36,10.60,1.71,1.75,9.00,10.37,8.00,10.84,9.00,0.50,0.49,1.00,1.00,1.00,1.00,2,1,0,0.00
89,0.10,10,11,0.30,8.02,8.03,7.04,7.16,278.38,0.48,0.62,195.50,277.37,189.00,278.58,196.00,0.16,0.83,0.90,5.50,1.10,2.70,1,2,1,2.79
90,0.10,10,11,0.40,8.11,8.12,6.06,6.22,118.06,0.60,0.85,83.00,114.00,82.50,118.36,83.00,0.06,0.94,0.90,5.50,1.10,2.17,1,2,0,3.32
91,0.10,10,11,0.50,8.17,8.17,5.21,5.35,55.35,0.73,0.97,40.00,42.55,29.00,55.73,41.00,0.02,0.97,0.90,5.50,1.10,1.81,1,2,0,3.68
92,0.10,10,11,0.60,8.19,8.19,4.56,4.64,31.23,0.87,1.01,23.00,29.30,20.50,31.25,23.00,0.01,0.98,0.90,5.50,1.10,1.56,1,2,0,3.93
93,0.10,10,11,0.70,8.17,8.18,3.99,4.00,20.61,0.96,0.97,16.00,14.60,10.00,20.66,16.00,7.5e-03,0.99,0.90,5.50,1.10,1.36,1,2,0,4.13
94,0.10,10,11,0.80,8.15,8.15,3.68,3.60,15.61,1.00,0.95,12.00,8.20,5.50,15.65,12.00,5.0e-03,0.99,0.90,5.50,1.10,1.21,1,2,0,4.28
95,0.10,10,11,0.90,8.04,8.04,3.45,3.42,12.61,1.02,0.87,10.00,14.80,11.50,12.60,10.00,5.0e-03,0.99,0.90,5.50,1.10,1.09,1,2,0,4.40
96,0.10,10,11,1.00,8.05,8.00,3.27,3.16,10.51,1.10,0.87,8.00,4.83,3.50,10.52,8.00,3.0e-03,0.99,0.90,5.50,1.10,1.00,1,2,0,4.50
97,0.20,10,11,0.30,7.07,7.14,7.34,7.44,220.56,0.69,0.80,156.00,223.61,161.00,217.75,154.00,0.47,0.52,0.90,3.66,1.10,2.70,2,1,1,0.96
98,0.20,10,11,0.40,7.33,7.35,6.38,6.54,115.97,0.76,0.96,81.00,111.65,73.00,117.05,83.00,0.20,0.79,0.90,3.66,1.10,2.17,1,2,0,1.49
99,0.20,10,11,0.50,7.55,7.55,5.46,5.68,63.61,0.82,1.07,46.00,61.27,41.00,63.83,47.00,0.08,0.91,0.90,3.66,1.10,1.81,1,2,0,1.84
100,0.20,10,11,0.60,7.59,7.63,4.85,5.00,35.97,0.97,1.10,26.00,33.28,23.00,36.13,26.00,0.05,0.94,0.90,3.66,1.10,1.56,1,2,0,2.10
101,0.20,10,11,0.70,7.68,7.68,4.24,4.29,23.82,1.00,1.12,18.00,24.00,15.50,23.81,18.00,0.02,0.97,0.90,3.66,1.10,1.36,1,2,0,2.29
102,0.20,10,11,0.80,7.70,7.73,3.85,3.80,17.34,1.08,1.05,13.00,12.72,10.00,17.42,13.00,0.01,0.98,0.90,3.66,1.10,1.21,1,2,0,2.44
103,0.20,10,11,0.90,7.69,7.69,3.57,3.50,13.93,1.08,1.01,11.00,8.50,6.00,13.96,11.00,5.0e-03,0.99,0.90,3.66,1.10,1.09,1,2,0,2.56
104,0.20,10,11,1.00,7.67,7.66,3.39,3.30,11.83,1.11,0.95,10.00,9.50,8.50,11.85,10.00,8.0e-03,0.99,0.90,3.66,1.10,1.00,1,2,0,2.66
105,0.30,10,11,0.20,5.78,5.92,8.51,8.51,106.23,0.79,0.70,75.00,105.98,75.00,110.73,81.00,0.94,0.05,0.90,2.75,1.10,3.57,2,1,0,-0.82
106,0.30,10,11,0.30,6.09,6.20,7.71,7.75,115.89,0.87,0.83,84.00,116.51,84.00,113.57,83.50,0.79,0.20,0.90,2.75,1.10,2.70,2,1,0,0.04
107,0.30,10,11,0.40,6.38,6.48,6.82,6.93,93.01,0.94,1.05,65.00,92.76,67.00,93.33,63.00,0.55,0.44,0.90,2.75,1.10,2.17,2,1,0,0.57
108,0.30,10,11,0.50,6.70,6.78,5.95,6.10,63.44,1.08,1.23,46.00,64.56,42.00,62.98,46.00,0.28,0.71,0.90,2.75,1.10,1.81,1,2,0,0.93
109,0.30,10,11,0.60,6.93,6.94,5.18,5.27,39.79,1.06,1.23,29.00,40.68,30.50,39.71,29.00,0.14,0.85,0.90,2.75,1.10,1.56,1,2,0,1.18
110,0.30,10,11,0.70,7.10,7.15,4.58,4.59,26.30,1.18,1.25,20.00,24.82,17.50,26.44,20.00,0.08,0.91,0.90,2.75,1.10,1.36,1,2,0,1.38
111,0.30,10,11,0.80,7.25,7.25,4.08,4.03,19.37,1.16,1.19,15.00,18.70,14.00,19.40,15.00,0.04,0.95,0.90,2.75,1.10,1.21,1,2,0,1.53
112,0.30,10,11,0.90,7.23,7.25,3.75,3.64,15.52,1.18,1.13,12.00,16.20,11.50,15.50,12.00,0.03,0.96,0.90,2.75,1.10,1.09,1,2,0,1.65
113,0.30,10,11,1.00,7.32,7.34,3.51,3.40,12.44,1.24,1.07,10.00,8.35,6.00,12.54,10.00,0.02,0.97,0.90,2.75,1.10,1.00,1,2,0,1.75
114,0.40,10,11,0.20,4.88,5.03,8.59,8.60,48.77,0.92,0.82,36.00,48.77,35.00,49.34,41.00,0.97,0.02,0.90,2.20,1.10,3.57,2,1,0,-1.37
115,0.40,10,11,0.30,5.14,5.29,7.96,7.96,54.15,0.99,0.95,39.00,54.59,39.00,47.15,34.50,0.94,0.05,0.90,2.20,1.10,2.70,2,1,0,-0.50
116,0.40,10,11,0.40,5.43,5.57,7.25,7.31,56.14,1.14,1.15,40.00,56.67,40.00,54.02,40.00,0.80,0.19,0.90,2.20,1.10,2.17,2,1,0,0.02
117,0.40,10,11,0.50,5.77,5.86,6.42,6.54,49.60,1.24,1.29,34.00,48.63,34.00,50.90,34.00,0.57,0.42,0.90,2.20,1.10,1.81,2,1,0,0.38
118,0.40,10,11,0.60,6.17,6.24,5.63,5.72,38.67,1.29,1.46,28.00,39.99,29.00,37.94,27.50,0.35,0.64,0.90,2.20,1.10,1.56,1,2,0,0.63
119,0.40,10,11,0.70,6.43,6.49,4.93,4.95,27.67,1.31,1.43,20.00,26.63,20.00,27.95,20.00,0.21,0.78,0.90,2.20,1.10,1.36,1,2,0,0.83
120,0.40,10,11,0.80,6.64,6.75,4.41,4.32,20.22,1.40,1.44,16.00,18.23,15.00,20.53,16.00,0.13,0.86,0.90,2.20,1.10,1.21,1,2,0,0.98
121,0.40,10,11,0.90,6.77,6.88,3.98,3.85,16.33,1.31,1.29,13.00,16.04,13.00,16.35,13.00,0.08,0.91,0.90,2.20,1.10,1.09,1,2,0,1.10
122,0.40,10,11,1.00,6.83,6.95,3.73,3.54,13.19,1.36,1.23,10.50,11.71,8.50,13.29,11.00,0.06,0.93,0.90,2.20,1.10,1.00,1,2,0,1.20
123,0.50,10,11,0.20,4.22,4.29,8.62,8.65,26.20,0.98,0.97,19.00,26.25,19.00,20.38,14.00,0.99,9.0e-03,0.90,1.83,1.10,3.57,2,1,0,-1.73
124,0.50,10,11,0.30,4.37,4.44,8.21,8.18,29.26,1.01,1.04,21.00,29.21,21.00,31.12,23.00,0.97,0.02,0.90,1.83,1.10,2.70,2,1,0,-0.86
125,0.50,10,11,0.40,4.63,4.75,7.55,7.60,33.02,1.13,1.17,23.00,33.03,23.00,32.90,24.00,0.90,0.09,0.90,1.83,1.10,2.17,2,1,0,-0.34
126,0.50,10,11,0.50,4.99,5.05,6.79,6.87,33.46,1.29,1.39,24.00,32.50,23.00,36.37,26.00,0.75,0.24,0.90,1.83,1.10,1.81,2,1,0,0.01
127,0.50,10,11,0.60,5.34,5.39,6.08,6.18,29.94,1.44,1.58,22.00,30.51,23.00,29.12,22.00,0.59,0.40,0.90,1.83,1.10,1.56,2,1,0,0.27
128,0.50,10,11,0.70,5.70,5.75,5.47,5.47,26.63,1.50,1.59,21.00,26.88,22.00,26.53,21.00,0.41,0.59,0.90,1.83,1.10,1.36,1,2,0,0.46
129,0.50,10,11,0.80,6.03,6.15,4.75,4.66,20.86,1.59,1.60,15.00,20.61,15.00,20.96,16.00,0.27,0.72,0.90,1.83,1.10,1.21,1,2,0,0.61
130,0.50,10,11,0.90,6.16,6.28,4.32,4.10,16.71,1.53,1.55,13.00,16.94,12.00,16.66,13.00,0.19,0.80,0.90,1.83,1.10,1.09,1,2,0,0.73
131,0.50,10,11,1.00,6.39,6.50,3.92,3.68,14.41,1.47,1.40,11.00,13.70,11.00,14.50,11.00,0.11,0.88,0.90,1.83,1.10,1.00,1,2,0,0.83
132,0.60,10,11,0.20,3.78,3.75,8.63,8.64,18.00,0.92,1.05,14.00,17.98,14.00,20.08,13.00,0.99,6.0e-03,0.90,1.57,1.10,3.57,2,1,0,-2.00
133,0.60,10,11,0.30,3.88,3.86,8.21,8.20,19.41,0.98,1.08,15.00,19.45,15.00,16.65,12.00,0.98,0.01,0.90,1.57,1.10,2.70,2,1,0,-1.13
134,0.60,10,11,0.40,4.13,4.08,7.68,7.70,21.19,1.15,1.29,16.00,21.49,17.00,15.75,11.00,0.94,0.05,0.90,1.57,1.10,2.17,2,1,0,-0.60
135,0.60,10,11,0.50,4.36,4.30,7.09,7.21,22.59,1.30,1.47,17.00,22.78,17.00,21.20,14.00,0.88,0.12,0.90,1.57,1.10,1.81,2,1,0,-0.24
136,0.60,10,11,0.60,4.68,4.62,6.47,6.61,22.74,1.46,1.61,17.00,23.04,17.00,21.73,15.00,0.76,0.23,0.90,1.57,1.10,1.56,2,1,0,8.92857142857117e-03
137,0.60,10,11,0.70,5.03,5.00,5.82,6.00,21.50,1.57,1.74,16.00,22.14,18.00,20.42,16.00,0.61,0.38,0.90,1.57,1.10,1.36,2,1,0,0.20
138,0.60,10,11,0.80,5.38,5.46,5.17,5.22,19.06,1.64,1.73,14.00,19.30,15.00,18.87,14.00,0.44,0.55,0.90,1.57,1.10,1.21,1,2,0,0.35
139,0.60,10,11,0.90,5.54,5.67,4.76,4.60,16.61,1.70,1.75,13.00,16.44,13.00,16.71,13.00,0.34,0.65,0.90,1.57,1.10,1.09,1,2,0,0.47
140,0.60,10,11,1.00,5.80,6.00,4.28,4.00,14.17,1.69,1.66,11.00,14.22,11.00,14.15,11.00,0.24,0.75,0.90,1.57,1.10,1.00,1,2,0,0.57
141,0.70,10,11,0.20,3.47,3.42,8.58,8.60,13.47,0.88,1.15,11.00,13.50,11.00,4.75,4.00,0.99,4.0e-03,0.90,1.37,1.10,3.57,2,1,0,-2.19
142,0.70,10,11,0.30,3.59,3.50,8.13,8.18,14.72,0.98,1.20,12.00,14.74,12.00,12.50,8.00,0.98,0.01,0.90,1.37,1.10,2.70,2,1,0,-1.32
143,0.70,10,11,0.40,3.69,3.63,7.75,7.79,15.59,1.07,1.32,12.00,15.68,12.00,12.54,8.00,0.97,0.02,0.90,1.37,1.10,2.17,2,1,0,-0.79
