"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
14,19,1.5,0.3,0.3,0.7,3.85,24.06,0.73,2.18,1.35,3.88,0.13,-1.7,17.17,4.02947795704846,4,21.6455203813099,22,0.83840028204852,2.0239071929615,20.789,16,20.789,16,NaN,NA,1,0
15,19,1.5,0.3,0.3,0.7,4.58,23.75,0.78,2.18,1.26,3.94,0.16,-1.76,16.86,4.44993090484362,4.46916508538899,21.9004574687535,22.25,0.869701524627632,1.89456480479641,28.6565,22,28.6565,22,NaN,NA,1,0
16,19,1.5,0.3,0.3,0.7,5.31,23.43,0.84,2.18,1.18,4,0.18,-1.81,16.48,4.91206555820519,4.97520491803279,22.0947481834168,22.4309523809524,0.8604999583708,1.63553102220096,41.266,30,41.266,30,NaN,NA,1,0
17,19,1.5,0.3,0.3,0.7,6.04,23.12,0.89,2.18,1.11,4.04,0.2,-1.86,15.88,5.44298007864508,5.54950980392157,22.2068048069044,22.4744307577454,0.858844952789204,1.50144742441598,61.8235,43,61.8235,43,NaN,NA,1,0
18,19,1.5,0.3,0.3,0.7,6.77,22.81,0.94,2.18,1.05,4.09,0.22,-1.91,15.31,6.07469221730002,6.18900018900019,22.2456218932944,22.4437908496732,0.808929487894852,1.18292740596650,102.3295,72,102.3295,72,NaN,NA,1,0
19,19,1.5,0.3,0.3,0.7,7.5,22.5,1,2.18,1,4.13,0.25,-1.95,14.62,6.80253062551657,6.9441694169417,22.1765735122046,22.2997975708502,0.764727631400537,0.994936990296148,164.78,116,164.78,116,NaN,NA,1,0
20,19,1.5,0.3,0.3,0.7,8.22,22.18,1.05,2.18,0.95,4.16,0.27,-1.98,13.82,7.55311787596751,7.67139136532105,21.9714438180007,22.0950803264336,0.701486296242974,0.852831675741218,285.4835,206,285.4835,206,NaN,NA,1,0
11,20,1.5,0.3,0.3,0.7,1.35,26.56,0.55,2.18,1.81,3.66,0.04,-1.47,18.65,3.16217430961840,3.08333333333333,21.4361228962195,21.8,0.728668259139282,2.68193166803874,9.385,8,9.385,8,NaN,NA,1,0
12,20,1.5,0.3,0.3,0.7,2.08,26.25,0.6,2.18,1.66,3.75,0.07,-1.56,18.97,3.35235545266353,3.33333333333333,22.0094952685577,22.4444444444444,0.760519590234458,2.52976406601216,11.649,10,11.649,10,NaN,NA,1,0
13,20,1.5,0.3,0.3,0.7,2.81,25.93,0.65,2.18,1.53,3.82,0.09,-1.63,18.95,3.62154139692819,3.54545454545455,22.3257281570871,22.6666666666667,0.82162577701946,2.40759139433506,14.4255,12,14.4255,12,NaN,NA,1,0
14,20,1.5,0.3,0.3,0.7,3.54,25.62,0.7,2.18,1.42,3.88,0.12,-1.7,18.76,3.91271273797498,3.88888888888889,22.828926781708,23.2222222222222,0.827578771738234,2.21134930243442,18.9875,15,18.9875,15,NaN,NA,1,0
15,20,1.5,0.3,0.3,0.7,4.27,25.31,0.75,2.18,1.33,3.94,0.14,-1.75,18.51,4.31673558882956,4.33333333333333,23.1245091885116,23.5,0.837325102832389,2.00647899751936,25.0945,19,25.0945,19,NaN,NA,1,0
16,20,1.5,0.3,0.3,0.7,5,25,0.8,2.18,1.25,4,0.16,-1.81,18.2,4.71131407764974,4.75,23.3782056196492,23.7669683257919,0.866897530972392,1.82475470120181,34.7545,26,34.7545,26,NaN,NA,1,0
17,20,1.5,0.3,0.3,0.7,5.72,24.68,0.85,2.18,1.17,4.04,0.18,-1.86,17.63,5.18597456815738,5.24087912087912,23.4946192933830,23.8284272497897,0.887489882711877,1.64386840773766,49.2165,36,49.2165,36,NaN,NA,1,0
18,20,1.5,0.3,0.3,0.7,6.45,24.37,0.9,2.18,1.11,4.09,0.2,-1.9,17.11,5.80274489960761,5.91307427646225,23.5960967326829,23.8590253175495,0.858220395005875,1.39425490694445,73.2365,54,73.2365,54,NaN,NA,1,0
19,20,1.5,0.3,0.3,0.7,7.18,24.06,0.95,2.18,1.05,4.13,0.22,-1.94,16.45,6.49024322188864,6.6072363500374,23.5801489695074,23.7706783862970,0.805230312549698,1.11854079029251,126.8735,93,126.8735,93,NaN,NA,1,0
20,20,1.5,0.3,0.3,0.7,7.91,23.75,1,2.18,1,4.16,0.24,-1.97,15.68,7.21277858225249,7.3484430176565,23.4719239184652,23.6,0.760370338698091,0.914432596142968,200.179,146.5,200.179,146.5,NaN,NA,1,0
11,11,2,0.3,0.3,0.7,3.05,12.97,1,2.08,1,4.4,0.19,-2.31,11.5,3.13806318734079,3.13574938574939,11.4146513378757,11.6363636363636,0.645033807492706,1.57024056126931,15.3335,12,15.3316658329165,12,19,19,0.9995,5e-04
12,11,2,0.3,0.3,0.7,3.58,12.74,1.09,2.08,0.91,4.52,0.21,-2.44,11.17,3.47802923735017,3.5,11.4987066316143,11.6956521739130,0.680447134176372,1.45965065081930,21.221,16,21.2281140570285,16,7,7,0.9995,5e-04
13,11,2,0.3,0.3,0.7,4.12,12.51,1.18,2.08,0.84,4.64,0.24,-2.56,10.73,3.83785858607701,3.86632302405498,11.6051797152465,11.7698612862547,0.689890152866277,1.29613989474844,30.2285,22,30.2472472472472,22,11.5,11.5,0.999,0.001
14,11,2,0.3,0.3,0.7,4.65,12.29,1.27,2.08,0.78,4.74,0.27,-2.66,10.16,4.25839293331292,4.33333333333333,11.6339532700303,11.7931034482759,0.689179817923072,1.12720252866311,45.236,32,45.2167167167167,32,64.5,64.5,0.999,0.001
15,11,2,0.3,0.3,0.7,5.19,12.06,1.36,2.08,0.73,4.83,0.3,-2.75,9.44,4.70453153392575,4.81818181818182,11.5393575461021,11.6740293860076,0.708337193195313,1.05513592036844,65.4925,47,65.5874371859296,47,46.6,51.5,0.995,0.005
16,11,2,0.3,0.3,0.7,5.72,11.83,1.45,2.08,0.68,4.92,0.32,-2.84,8.67,5.25047691003678,5.36660401002506,11.4623484335588,11.5542369813142,0.67739324010749,0.8836789272431,107.675,75,107.479093198992,74,133.6,109,0.9925,0.0075
11,12,2,0.3,0.3,0.7,2.82,14.5,0.91,2.1,1.09,4.4,0.16,-2.3,13.43,3.04638395395328,3,12.5606230124956,12.80625,0.643730918904686,1.77466286476074,13.501,10,13.501,10,NaN,NA,1,0
12,12,2,0.3,0.3,0.7,3.35,14.27,1,2.1,1,4.52,0.19,-2.42,13.21,3.36044149329290,3.34851621808144,12.7627805963589,13,0.668247816630943,1.55803166856976,18.2825,14,18.2825,14,NaN,NA,1,0
13,12,2,0.3,0.3,0.7,3.89,14.04,1.08,2.1,0.92,4.64,0.21,-2.54,12.89,3.69752898362626,3.71428571428571,12.8334826166061,13.0548048048048,0.710563017401122,1.49307122087547,25.792,19,25.792,19,NaN,NA,1,0
14,12,2,0.3,0.3,0.7,4.42,13.81,1.16,2.1,0.85,4.74,0.24,-2.64,12.39,4.08297680130658,4.13188405797101,12.9692827771371,13.1688311688312,0.705803578306272,1.25536530230026,36.7205,27,36.7348674337169,27,8,8,0.9995,5e-04
15,12,2,0.3,0.3,0.7,4.96,13.58,1.25,2.1,0.8,4.83,0.26,-2.73,11.76,4.51906125494866,4.60682777138473,12.9229561410752,13.0701754385965,0.700668865802516,1.14660701648413,53.484,38,53.4907453726863,38,40,40,0.9995,5e-04
16,12,2,0.3,0.3,0.7,5.49,13.35,1.33,2.1,0.75,4.92,0.29,-2.82,11.08,5.03375090747829,5.11155555555556,12.8681205517278,12.9888705537220,0.687023807352274,0.989109596336356,81.5905,59,81.6188094047023,59,25,25,0.9995,5e-04
17,12,2,0.3,0.3,0.7,6.03,13.12,1.41,2.1,0.7,5,0.31,-2.9,10.28,5.53910212713901,5.64770763510683,12.8008204704267,12.8799477806789,0.647998797155717,0.873135632013702,128.2665,91.5,128.519819367787,92,56.1428571428571,38,0.9965,0.0035
18,12,2,0.3,0.3,0.7,6.56,12.9,1.5,2.1,0.66,5.07,0.33,-2.97,9.41,6.09580916889568,6.21147241505298,12.6138842398241,12.6782786885246,0.609622531682313,0.77961472375071,207.951,144,207.429722921914,142,276.933333333333,221,0.9925,0.0075
11,13,2,0.3,0.3,0.7,2.59,16.03,0.84,2.11,1.18,4.4,0.13,-2.28,15.38,3.0092712428179,3,13.6413070543176,13.9486842105263,0.640288773610295,1.87578027342671,12.375,10,12.375,10,NaN,NA,1,0
12,13,2,0.3,0.3,0.7,3.12,15.8,0.92,2.11,1.08,4.52,0.16,-2.41,15.27,3.27082218236953,3.25,13.8371747907348,14.125,0.67087478507787,1.81567708727588,16.595,12.5,16.6013006503252,13,4,4,0.9995,5e-04
13,13,2,0.3,0.3,0.7,3.66,15.57,1,2.11,1,4.64,0.19,-2.52,15.06,3.54178749879317,3.58017135862913,14.0792145560897,14.3647450110865,0.711196604171315,1.62261822469548,22.074,16,22.074,16,NaN,NA,1,0
14,13,2,0.3,0.3,0.7,4.19,15.34,1.07,2.11,0.92,4.74,0.21,-2.62,14.66,3.93171050327262,4,14.1676923175865,14.4180107526882,0.712220442817546,1.52228206657002,30.057,22,30.057,22,NaN,NA,1,0
15,13,2,0.3,0.3,0.7,4.73,15.11,1.15,2.11,0.86,4.83,0.23,-2.72,14.11,4.32115928585368,4.40476190476191,14.2780256084686,14.4534632034632,0.731782378658464,1.28530480539619,41.487,30,41.503751875938,30,8,8,0.9995,5e-04
16,13,2,0.3,0.3,0.7,5.26,14.88,1.23,2.11,0.81,4.92,0.26,-2.8,13.51,4.76284814035493,4.87646631371328,14.2580164843640,14.4156504065041,0.712984937581438,1.13114165925113,63.515,45,63.515,45,NaN,NA,1,0
17,13,2,0.3,0.3,0.7,5.8,14.65,1.3,2.11,0.76,5,0.28,-2.88,12.78,5.27869018910421,5.39435015955904,14.2154132269884,14.3757352941176,0.698974185166156,1.05109405522017,94.8275,68,94.8659329664832,68,18,18,0.9995,5e-04
18,13,2,0.3,0.3,0.7,6.33,14.42,1.38,2.11,0.72,5.07,0.3,-2.95,11.97,5.80278629015763,5.92344322344322,14.1188096110073,14.2086915668311,0.666400803250531,0.842375392258197,151.604,106,151.604,106,NaN,NA,1,0
19,13,2,0.3,0.3,0.7,6.87,14.19,1.46,2.11,0.68,5.13,0.32,-3.01,11.05,6.36320753170735,6.49067047274246,13.9542344351164,14.0083385449239,0.633469622665502,0.682061231181664,248.225,166.5,248.363363363363,166.5,110,110,0.999,0.001
20,13,2,0.3,0.3,0.7,7.4,13.96,1.53,2.11,0.65,5.19,0.34,-3.07,10.1,6.97391802602935,7.0648757730954,13.7774818786382,13.8035327906857,0.525961601772763,0.659268413682037,416.3085,288.5,416.518332496233,289,369.888888888889,225,0.9955,0.0045
11,14,2,0.3,0.3,0.7,2.36,17.55,0.78,2.13,1.27,4.4,0.11,-2.26,17.24,2.94838243580741,2.92450142450142,14.7667813890269,15.1081871345029,0.630895442123548,2.10826879876997,11.5825,9,11.5825,9,NaN,NA,1,0
12,14,2,0.3,0.3,0.7,2.9,17.32,0.85,2.13,1.16,4.52,0.14,-2.39,17.23,3.20945404386767,3.19482758620690,15.0245279914251,15.3333333333333,0.665358111597024,1.95684181056331,14.91,12,14.91,12,NaN,NA,1,0
13,14,2,0.3,0.3,0.7,3.43,17.09,0.92,2.13,1.07,4.64,0.16,-2.51,17.14,3.43463105029753,3.42857142857143,15.2307904722307,15.5208333333333,0.689689858134511,1.79923226867119,18.7825,14,18.7825,14,NaN,NA,1,0
14,14,2,0.3,0.3,0.7,3.96,16.87,1,2.13,1,4.74,0.19,-2.61,16.84,3.77437946392554,3.78192934782609,15.4534330131487,15.7407407407407,0.735299358036444,1.65075589446110,25.875,19,25.875,19,NaN,NA,1,0
15,14,2,0.3,0.3,0.7,4.5,16.64,1.07,2.13,0.93,4.83,0.21,-2.7,16.38,4.16798242719576,4.2,15.5300019399695,15.7719058050383,0.727098484451847,1.47442796515778,35.5995,26,35.5995,26,NaN,NA,1,0
16,14,2,0.3,0.3,0.7,5.03,16.41,1.14,2.13,0.87,4.92,0.23,-2.79,15.87,4.58836090102089,4.65714285714286,15.5738500517964,15.7948506354184,0.73348154416467,1.31805337993976,48.942,35,48.942,35,NaN,NA,1,0
17,14,2,0.3,0.3,0.7,5.57,16.18,1.21,2.13,0.82,5,0.25,-2.86,15.22,5.05756868904384,5.17013293310463,15.5577407901429,15.7578201368524,0.723213881216272,1.16215259877510,75.8735,55,75.8735,55,NaN,NA,1,0
18,14,2,0.3,0.3,0.7,6.1,15.95,1.28,2.13,0.77,5.07,0.27,-2.93,14.47,5.58143124805503,5.69767441860465,15.5420350848162,15.6613097543135,0.675252985497525,0.938865239337343,115.253,82,115.278139069535,82,65,65,0.9995,5e-04
19,14,2,0.3,0.3,0.7,6.64,15.72,1.35,2.13,0.73,5.13,0.29,-3,13.62,6.12810950755922,6.23568974112452,15.4079887764030,15.5124390425032,0.638083154858604,0.81141004497767,181.733,126.5,181.754377188594,126,139,139,0.9995,5e-04
20,14,2,0.3,0.3,0.7,7.17,15.49,1.42,2.13,0.7,5.19,0.31,-3.06,12.72,6.69881194404496,6.7882525083612,15.2770457070749,15.3499174917492,0.559796515663215,0.690124326133216,295.329,204,295.079539769885,204,794,794,0.9995,5e-04
11,15,2,0.3,0.3,0.7,2.13,19.08,0.73,2.14,1.36,4.4,0.1,-2.25,19.15,2.92959939201375,2.85714285714286,15.7829600278344,16.1111111111111,0.640202452700647,2.23490890911174,10.5395,8,10.5395,8,NaN,NA,1,0
12,15,2,0.3,0.3,0.7,2.67,18.85,0.8,2.14,1.25,4.52,0.12,-2.38,19.25,3.12947212673175,3.1,16.0731457070704,16.4347826086957,0.673842504823925,2.13801366643035,12.9475,10,12.9475,10,NaN,NA,1,0
13,15,2,0.3,0.3,0.7,3.2,18.62,0.86,2.14,1.15,4.64,0.14,-2.5,19.27,3.3659096623273,3.36451048951049,16.2924884913938,16.707779886148,0.693897980233721,2.05623800582486,16.4155,13,16.4155,13,NaN,NA,1,0
14,15,2,0.3,0.3,0.7,3.74,18.39,0.93,2.14,1.07,4.74,0.16,-2.6,19.04,3.65911244530388,3.66666666666667,16.6027467507944,16.9230769230769,0.721251788641058,1.82890238948057,21.7525,16,21.7525,16,NaN,NA,1,0
15,15,2,0.3,0.3,0.7,4.27,18.16,1,2.14,1,4.83,0.19,-2.69,18.68,4.01242483908663,4.03316885964912,16.8017211833906,17.1526806526807,0.717764853631839,1.64626562686155,30.028,22,30.028,22,NaN,NA,1,0
16,15,2,0.3,0.3,0.7,4.8,17.93,1.06,2.14,0.93,4.92,0.21,-2.78,18.25,4.37868199344365,4.44627394384676,16.9109504690257,17.1818181818182,0.746091765949754,1.44842963958554,39.879,29,39.879,29,NaN,NA,1,0
17,15,2,0.3,0.3,0.7,5.34,17.7,1.13,2.14,0.88,5,0.23,-2.85,17.67,4.88374478771804,4.96407056798623,16.9472474793665,17.1892230576441,0.70412585921755,1.30943991527492,63.612,45.5,63.612,45.5,NaN,NA,1,0
18,15,2,0.3,0.3,0.7,5.87,17.48,1.2,2.14,0.83,5.07,0.25,-2.92,17,5.36003777277473,5.46225071225071,16.9697711931790,17.1307911617962,0.682962534534077,1.04914151146163,91.306,65,91.3426713356678,65,18,18,0.9995,5e-04
19,15,2,0.3,0.3,0.7,6.41,17.25,1.26,2.14,0.78,5.13,0.27,-2.99,16.2,5.89553975749128,6,16.8752978386617,17.0114517819706,0.660370902170125,0.957761166426686,141.423,104,141.491745872936,104,4,4,0.9995,5e-04
20,15,2,0.3,0.3,0.7,6.94,17.02,1.33,2.14,0.75,5.19,0.28,-3.05,15.37,6.4383647996675,6.53173144257703,16.7941880336975,16.8786462758425,0.59762389351747,0.751267733457052,217.9085,160,217.9085,160,NaN,NA,1,0
11,16,2,0.3,0.3,0.7,1.9,20.61,0.68,2.15,1.45,4.4,0.08,-2.24,21.04,2.87091284847873,2.81818181818182,16.8251045301409,17.2,0.63740197537149,2.3961094095108,9.806,8,9.806,8,NaN,NA,1,0
12,16,2,0.3,0.3,0.7,2.44,20.38,0.75,2.15,1.33,4.52,0.1,-2.37,21.25,3.04752885911679,3,17.1586955583033,17.5,0.674065921706981,2.22857571255521,11.7285,10,11.7285,10,NaN,NA,1,0
13,16,2,0.3,0.3,0.7,2.97,20.15,0.81,2.15,1.23,4.64,0.12,-2.48,21.38,3.30644025251607,3.27272727272727,17.4899077903504,17.8461538461538,0.693196467119453,2.16905030481249,15.2085,12,15.2085,12,NaN,NA,1,0
14,16,2,0.3,0.3,0.7,3.51,19.92,0.87,2.15,1.14,4.74,0.14,-2.59,21.25,3.57155885857985,3.55555555555556,17.8134634975415,18.1666666666667,0.724059367085112,2.03074886342168,19.3605,15,19.3605,15,NaN,NA,1,0
15,16,2,0.3,0.3,0.7,4.04,19.69,0.93,2.15,1.06,4.83,0.17,-2.68,20.97,3.85673299237321,3.88956639566396,17.9279580122902,18.2675736961451,0.745219089870438,1.81277588797403,25.154,18,25.154,18,NaN,NA,1,0
16,16,2,0.3,0.3,0.7,4.58,19.46,1,2.15,1,4.92,0.19,-2.76,20.6,4.24388805610745,4.29166666666667,18.1979126393699,18.4913147648997,0.749359948113828,1.60127584013634,35.0775,26,35.0775,26,NaN,NA,1,0
17,16,2,0.3,0.3,0.7,5.11,19.23,1.06,2.15,0.94,5,0.2,-2.84,20.12,4.65505324943055,4.74578845622756,18.3307804362176,18.5659420289855,0.732880310056358,1.42378160763787,50.5235,36,50.5235,36,NaN,NA,1,0
18,16,2,0.3,0.3,0.7,5.64,19,1.12,2.15,0.88,5.07,0.22,-2.91,19.5,5.09278719215277,5.19360583446404,18.2859472741699,18.5185185185185,0.756524576039281,1.30363845852392,66.691,47.5,66.691,47.5,NaN,NA,1,0
19,16,2,0.3,0.3,0.7,6.18,18.77,1.18,2.15,0.84,5.13,0.24,-2.98,18.75,5.62260214955321,5.72541106352391,18.3274519645991,18.4817663817664,0.701607280418763,1.07211289243371,106.998,76,106.998,76,NaN,NA,1,0
20,16,2,0.3,0.3,0.7,6.71,18.54,1.25,2.15,0.8,5.19,0.26,-3.04,17.98,6.18125325340488,6.26529180695847,18.2170335939261,18.3257502956830,0.625214069055249,0.866477133142202,171.683,121,171.683,121,NaN,NA,1,0
11,17,2,0.3,0.3,0.7,1.67,22.13,0.64,2.16,1.54,4.4,0.07,-2.23,22.91,2.85230635619193,2.78708791208791,17.888387276218,18.25,0.634419869211194,2.58967473673721,9.2455,8,9.2455,8,NaN,NA,1,0
12,17,2,0.3,0.3,0.7,2.21,21.9,0.7,2.16,1.41,4.52,0.09,-2.36,23.23,3.03955258125541,3,18.2141388655008,18.625,0.664016152372565,2.45378409286678,11.0345,9,11.0345,9,NaN,NA,1,0
13,17,2,0.3,0.3,0.7,2.74,21.67,0.76,2.16,1.3,4.64,0.11,-2.47,23.47,3.22037741155952,3.2,18.6169853857692,19,0.69359845277426,2.31908429848058,13.3915,11,13.3915,11,NaN,NA,1,0
14,17,2,0.3,0.3,0.7,3.28,21.45,0.82,2.16,1.21,4.74,0.13,-2.58,23.43,3.47872713379629,3.48644688644689,18.9405711230709,19.3775,0.713713332986402,2.17900838877393,17.481,13,17.481,13,NaN,NA,1,0
15,17,2,0.3,0.3,0.7,3.81,21.22,0.88,2.16,1.13,4.83,0.15,-2.67,23.24,3.75790055576550,3.75,19.2065607691788,19.5885579937304,0.746340705422868,1.9088133402348,22.352,17,22.352,17,NaN,NA,1,0
16,17,2,0.3,0.3,0.7,4.35,20.99,0.94,2.16,1.06,4.92,0.17,-2.75,22.96,4.08093732965712,4.1234756097561,19.4153666473406,19.75,0.752037449792692,1.82745186970405,30.002,22,30.002,22,NaN,NA,1,0
17,17,2,0.3,0.3,0.7,4.88,20.76,1,2.16,1,5,0.19,-2.83,22.54,4.48431521649261,4.53846153846154,19.5995810280543,19.875,0.724340789898342,1.54682670881448,42.1205,30,42.1205,30,NaN,NA,1,0
