"l1","l2","a11","a12","a21","a22","N1","N2","E1","S1","E2","S2","Rare","Asy","cor","meanN1","medN1","meanN2","medN2","sdN1","sdN2","MTC","medTC","MTP1","medTP1","MTP2","medTP2","Ext1","Ext2"
14,16,1.5,0.3,0.3,0.7,4.79,19.37,0.87,2.15,1.14,3.88,0.19,-1.73,12.61,4.46799198914942,4.52012882447665,18.0167508617949,18.3489130434783,0.839907763355527,1.67666295147120,33.6045,25,33.6045,25,NaN,NA,1,0
15,16,1.5,0.3,0.3,0.7,5.52,19.06,0.93,2.15,1.06,3.94,0.22,-1.79,12.11,5.00454629213396,5.1,18.204470089476,18.3939496176338,0.826744855112866,1.32662776143486,51.041,38,51.041,38,NaN,NA,1,0
16,16,1.5,0.3,0.3,0.7,6.25,18.75,1,2.15,1,4,0.25,-1.84,11.56,5.64626730072858,5.75,18.1888484614392,18.3723661423005,0.780254310095306,1.11579172779838,84.616,60,84.616,60,NaN,NA,1,0
17,16,1.5,0.3,0.3,0.7,6.97,18.43,1.06,2.15,0.94,4.04,0.27,-1.89,10.82,6.32590984505022,6.45813862928349,18.1012868568092,18.2139749390881,0.773180602522153,0.947372200618002,137.1745,96,137.1745,96,NaN,NA,1,0
18,16,1.5,0.3,0.3,0.7,7.7,18.12,1.12,2.15,0.88,4.09,0.29,-1.93,10.1,7.10950271432213,7.22075492222343,17.9088069921687,17.9970341702094,0.672494886326415,0.730395800111496,249.259,169.5,249.259,169.5,NaN,NA,1,0
19,16,1.5,0.3,0.3,0.7,8.43,17.81,1.18,2.15,0.84,4.13,0.32,-1.97,9.28,7.87766563317419,7.96847592803582,17.6850407806965,17.7223445912873,0.586738816585873,0.560632249469265,452.7335,314.5,452.723223223223,313.5,463,463,0.999,0.001
20,16,1.5,0.3,0.3,0.7,9.16,17.5,1.25,2.15,0.8,4.16,0.34,-2.01,8.38,8.6654377775166,8.75103291171349,17.3795657088351,17.4128472222222,0.525747809690681,0.520974749023142,891.414,589.5,891.414,589.5,NaN,NA,1,0
11,17,1.5,0.3,0.3,0.7,2.29,21.87,0.64,2.16,1.54,3.66,0.09,-1.5,14.68,3.25474429951167,3.17519181585678,18.3905558594794,18.7777777777778,0.742414858718111,2.21903968435897,11.8995,10,11.8995,10,NaN,NA,1,0
12,17,1.5,0.3,0.3,0.7,3.02,21.56,0.7,2.16,1.41,3.75,0.12,-1.58,14.73,3.54402815613311,3.50531914893617,18.7734043980087,19.1,0.7585253116562,2.08161831084198,14.8805,12,14.8805,12,NaN,NA,1,0
13,17,1.5,0.3,0.3,0.7,3.75,21.25,0.76,2.16,1.3,3.82,0.15,-1.65,14.52,3.8907461837404,3.85714285714286,19.0338368100418,19.3457880434783,0.82339779732066,2.02847739665705,19.8815,15,19.8815,15,NaN,NA,1,0
14,17,1.5,0.3,0.3,0.7,4.47,20.93,0.82,2.16,1.21,3.88,0.17,-1.72,14.15,4.28449690207704,4.32408102025506,19.3436836616483,19.6180371352785,0.848236206925686,1.67293426392525,28.8655,21,28.8655,21,NaN,NA,1,0
15,17,1.5,0.3,0.3,0.7,5.2,20.62,0.88,2.16,1.13,3.94,0.2,-1.78,13.72,4.78250105031308,4.85714285714286,19.5409501353445,19.7881701631702,0.812219576968324,1.41180208391309,42.288,31,42.288,31,NaN,NA,1,0
16,17,1.5,0.3,0.3,0.7,5.93,20.31,0.94,2.16,1.06,4,0.22,-1.83,13.22,5.35669872238459,5.44670522619294,19.5952391565195,19.8333333333333,0.829334886977476,1.37222804696248,64.5935,47,64.5935,47,NaN,NA,1,0
17,17,1.5,0.3,0.3,0.7,6.66,20,1,2.16,1,4.04,0.24,-1.88,12.53,6.00933698961993,6.11738208797032,19.5457589875581,19.6923076923077,0.805505228403237,1.07047472978101,101.893,75,101.893,75,NaN,NA,1,0
18,17,1.5,0.3,0.3,0.7,7.39,19.68,1.05,2.16,0.94,4.09,0.27,-1.92,11.85,6.7282874514235,6.87012743628186,19.366419638221,19.5009461765706,0.748353279056698,0.934855986471181,177.491,121,177.491,121,NaN,NA,1,0
19,17,1.5,0.3,0.3,0.7,8.12,19.37,1.11,2.16,0.89,4.13,0.29,-1.96,11.08,7.50787058705875,7.61672389038017,19.1878719339477,19.2740614035088,0.646104374287012,0.772048844290411,327.0995,227.5,327.0995,227.5,NaN,NA,1,0
20,17,1.5,0.3,0.3,0.7,8.85,19.06,1.17,2.16,0.85,4.16,0.31,-2,10.21,8.31835904499022,8.39743923611111,18.965697684544,18.9937298529759,0.511144638394459,0.533948012915621,602.7895,416.5,602.7895,416.5,NaN,NA,1,0
11,18,1.5,0.3,0.3,0.7,1.97,23.43,0.61,2.17,1.63,3.66,0.07,-1.49,15.98,3.20129670944807,3.14285714285714,19.3585238530608,19.7089947089947,0.729371834307894,2.40819950122358,11.03,9,11.03,9,NaN,NA,1,0
12,18,1.5,0.3,0.3,0.7,2.7,23.12,0.66,2.17,1.5,3.75,0.1,-1.57,16.13,3.48543963053536,3.44444444444444,19.8569759145924,20.2,0.764458182837294,2.28295218446356,13.9245,11,13.9245,11,NaN,NA,1,0
13,18,1.5,0.3,0.3,0.7,3.43,22.81,0.72,2.17,1.38,3.82,0.13,-1.65,15.98,3.75306679415506,3.73798627002288,20.1428757616062,20.5322916666667,0.808575002310891,2.13897061338731,17.617,14,17.617,14,NaN,NA,1,0
14,18,1.5,0.3,0.3,0.7,4.16,22.5,0.77,2.17,1.28,3.88,0.15,-1.71,15.68,4.11808968817215,4.125,20.5402298369197,20.8523965141612,0.817438307006785,1.77140255356389,24.4505,18.5,24.4505,18.5,NaN,NA,1,0
15,18,1.5,0.3,0.3,0.7,4.89,22.18,0.83,2.17,1.2,3.94,0.18,-1.77,15.3,4.60809474649334,4.66666666666667,20.7387286381229,21.0348062953995,0.849257240608823,1.61355435786102,33.9825,25,33.9825,25,NaN,NA,1,0
16,18,1.5,0.3,0.3,0.7,5.62,21.87,0.88,2.17,1.12,4,0.2,-1.82,14.86,5.12572959568594,5.16767068273092,20.8878888750031,21.1507575757576,0.834737590171203,1.37715800435884,50.3715,37.5,50.3715,37.5,NaN,NA,1,0
17,18,1.5,0.3,0.3,0.7,6.35,21.56,0.94,2.17,1.05,4.04,0.22,-1.87,14.22,5.72378799958888,5.81563296516568,20.9235971801608,21.1236415686928,0.819505931088519,1.23434095618278,78.8365,56,78.8365,56,NaN,NA,1,0
18,18,1.5,0.3,0.3,0.7,7.08,21.25,1,2.17,1,4.09,0.24,-1.91,13.6,6.4279286719404,6.5483870967742,20.8079303386516,20.9700746268657,0.748737261524225,1.06433681409593,131.106,92,131.106,92,NaN,NA,1,0
19,18,1.5,0.3,0.3,0.7,7.81,20.93,1.05,2.17,0.94,4.13,0.27,-1.95,12.85,7.14094542340873,7.25716702924825,20.7044980610203,20.8250879869956,0.694096857656698,0.839859496621964,223.3115,159,223.3115,159,NaN,NA,1,0
20,18,1.5,0.3,0.3,0.7,8.54,20.62,1.11,2.17,0.9,4.16,0.29,-1.99,12.01,7.9464378748095,8.04291137268233,20.477608687578,20.5404910173041,0.592741624937862,0.679607523596089,408.5725,279,408.5725,279,NaN,NA,1,0
11,19,1.5,0.3,0.3,0.7,1.66,25,0.57,2.18,1.72,3.66,0.06,-1.48,17.27,3.21433181530829,3.16666666666667,20.4559123480588,20.7573529411765,0.732068003284993,2.50507439831694,10.3585,9,10.3585,9,NaN,NA,1,0
12,19,1.5,0.3,0.3,0.7,2.39,24.68,0.63,2.18,1.58,3.75,0.08,-1.56,17.49,3.43106531635240,3.36754385964912,20.9353915454044,21.2222222222222,0.777130552861958,2.28957125620954,12.5245,10,12.5245,10,NaN,NA,1,0
13,19,1.5,0.3,0.3,0.7,3.12,24.37,0.68,2.18,1.46,3.82,0.11,-1.64,17.42,3.68319946456247,3.63636363636364,21.3178923509861,21.625,0.80616420730576,2.15656040229550,16.092,13,16.092,13,NaN,NA,1,0
